Gene,PeakRatio,PeakCall,5_UTR,uORF,Structure,InitH,InitC,Length,Intron,5Speed,AvSpeed,minSpeed,tAI,3_UTR,poly_P,poly_KR
YAL034W-A,0.75,False,0,0,0.0,0.0,,289,0,0.27315999999999996,0.2633916955017301,0.4319,0.2586444632140287,90,2,2
YAL035W,0.6038961038961039,False,21,0,0.28757147415443524,14.590791874999999,0.10053,1002,0,0.2259,0.18143892215568863,0.32875000000000004,0.3237918353308059,104,1,5
YAL036C,1.2083333333333333,True,32,0,0.31092066306861993,43.671771428571425,0.13427,369,0,0.13269999999999998,0.2060780487804878,0.39405,0.24352536352501178,167,2,3
YAL037C-A,0.0,False,4,0,0.0,,,30,0,0.3447,0.33293333333333325,0.0,0.2617879460824012,41,1,2
YAL037W,0.0,False,0,0,0.0,,0.0803,267,0,0.29569999999999996,0.32198576779026217,0.6268,0.20558208193392447,0,1,3
YAL038W,0.16856460002811754,False,87,0,1.2852034746760894,0.0,0.20519,500,0,0.18642,0.12456840000000001,0.17683,0.3478371207569025,166,2,2
YAL039C,1.3103448275862069,False,321,0,0.2196098104793757,745.9042644444445,0.10380999999999999,269,0,0.14700000000000002,0.29791375464684017,0.6493,0.2804206456050819,37,2,2
YAL040C,0.14285714285714285,False,319,1,0.3360660877954655,0.09801,0.0297,580,0,0.20825999999999997,0.25848000000000004,0.4191000000000001,0.26404554538700703,11,2,3
YAL041W,1.2,False,88,1,0.22507192917742533,18.135450000000002,0.05337000000000001,854,0,0.23929999999999993,0.2884632318501171,0.5125500000000001,0.22905627528718484,84,1,3
YAL042W,0.15384615384615385,False,16,0,0.42154129129129125,,0.13635999999999998,415,0,0.344,0.2848987951807229,0.45509999999999995,0.2570197829253571,84,1,2
YAL043C,0.02040816326530612,False,63,0,0.21440389294403894,3.904362,0.06012000000000001,785,0,0.2838,0.2861352866242038,0.47509999999999997,0.27655294292950977,57,2,3
YAL044C,0.0,False,55,0,0.4846249569707401,0.90981,0.1569,170,0,0.14716,0.26047176470588235,0.4109999999999999,0.2650602739489447,61,1,1
YAL044W-A,0.1,False,12,0,0.24721076233183856,,,110,0,0.20586000000000002,0.25112,0.33419999999999994,0.25670619560323366,113,1,2
YAL046C,0.0,True,47,0,0.11826526717557254,0.0014466666666666666,0.10535,118,0,0.4082,0.29577288135593216,0.39905,0.28365491706122736,120,1,2
YAL047C,0.0,False,29,0,0.0,0.0,0.08163,622,0,0.3445,0.2696926045016077,0.5085000000000001,0.2619481714661466,54,1,3
YAL048C,0.0,False,0,0,0.0,,0.0533,662,0,0.24380000000000002,0.26622567975830813,0.5570999999999999,0.23573271651800395,79,2,3
YAL049C,0.6,False,49,0,0.2888112359550562,1.3352714285714289,0.15317,246,0,0.2428,0.23486504065040648,0.39883,0.2504477077785891,100,1,2
YAL051W,0.19047619047619047,True,8,0,0.0,2.17404,0.06754,1047,0,0.2774,0.263909264565425,0.46195,0.22438525085577515,151,2,3
YAL053W,0.42857142857142855,False,163,0,0.4708054892601432,7.561723636363635,0.10329,783,0,0.2488,0.24700485312899106,0.41279999999999994,0.25049489918476414,53,2,2
YAL054C,0.0,False,60,0,0.0,290.4093,0.12707000000000002,713,0,0.5559,0.22144544179523143,0.44565,0.28128744008980583,0,1,3
YAL055W,0.16666666666666666,True,20,0,0.0,3.581223333333333,0.22202,180,0,0.28052,0.2923133333333333,0.3786999999999999,0.21363151701516403,154,3,2
YAL056W,0.0,False,46,0,0.0,,0.03795,880,0,0.21719999999999998,0.2685840909090909,0.4316000000000001,0.2046792961822388,93,3,4
YAL058W,0.0,False,50,0,0.18791573729863695,48.802796249999986,0.05722000000000001,502,0,0.1452,0.2621804780876494,0.4325000000000001,0.2380182567993066,55,2,3
YAL059W,1.0,False,0,0,-0.1237108108108108,33.74951142857143,0.10411,212,0,0.19185999999999998,0.22563584905660378,0.35966,0.2956686841433054,106,1,2
YAL060W,0.4117647058823529,False,86,0,0.2982719881744272,71.840264,0.10207000000000001,382,0,0.15686,0.22588691099476443,0.3394,0.2494542426614061,118,1,2
YAL061W,1.0,False,227,1,0.0,2.37006,0.05476,417,0,0.11746000000000004,0.23962877697841728,0.3886799999999999,0.27293909525720983,151,1,2
YAL062W,0.0,False,178,0,0.0,,0.13655,457,0,0.4539999999999999,0.24113960612691462,0.35660000000000003,0.2830414948094696,94,2,2
YAL063C,0.0,False,0,0,0.0,,0.01641,1322,0,0.2783,0.22565763993948562,0.45620000000000005,0.25591150443857075,0,2,2
YAL063C-A,0.0,False,0,0,0.0,,,96,0,0.4101,0.21585833333333335,0.3114,0.2553106211229599,0,1,2
YAL064C-A,0.0,False,0,0,0.0,,,126,0,0.21680000000000002,0.23476666666666668,0.30495000000000005,0.26601064417023257,0,2,1
YAL064W,0.0,False,0,0,0.0,,0.31783,94,0,0.41530000000000006,0.3019829787234043,0.48845,0.19346571197449808,0,1,2
YAL064W-B,0.0,False,0,0,0.0,,,126,0,0.35119999999999996,0.36734920634920637,0.55365,0.2353134102387621,0,1,0
YAL065C,0.0,False,0,0,0.0,,,128,0,0.26680000000000004,0.279028125,0.4262,0.20680878075131373,0,1,1
YAL067C,0.0,False,250,0,0.0,,0.10905999999999999,593,0,0.32589999999999997,0.2290276559865093,0.4446,0.23247057356156237,0,1,3
YAL067W-A,0.0,False,0,0,0.0,,,75,0,0.31199999999999994,0.32510666666666665,0.46905,0.18553481868024416,0,1,3
YAL068C,0.0,False,0,0,0.0,,0.1881,120,0,0.19160000000000005,0.15624500000000002,0.19225,0.31644633575112857,0,1,1
YAR002C-A,1.0,False,42,0,0.5606500655307994,188.9371576470588,,219,0,0.3314,0.17717808219178083,0.33404999999999996,0.29456408928523864,61,1,2
YAR002W,0.46511627906976744,True,26,0,0.2100675830469645,174.6738,0.10757,539,0,0.2982,0.2696983302411874,0.40967999999999993,0.23712163310730688,100,2,2
YAR003W,0.5,False,50,0,0.1188842746400886,17.965782857142855,0.03961,426,0,0.3001,0.26967089201877936,0.46525000000000005,0.20727117809531204,496,2,3
YAR007C,0.5257731958762887,True,69,0,0.2195189107413011,113.67496000000001,0.14635,621,0,0.36849999999999994,0.22534138486312402,0.40895000000000004,0.25305857166484547,52,1,3
YAR008W,2.142857142857143,False,110,1,0.0,3.110960769230769,0.06477999999999999,275,0,0.3262,0.25968436363636366,0.497,0.2214890385152762,100,2,2
YAR009C,0.0,False,0,0,0.0,0.0,,1196,0,0.2519,0.25724548494983274,0.4505,0.2318415239741721,0,3,3
YAR010C,0.0,False,0,0,0.0,0.0,,440,0,0.1995,0.2801068181818182,0.5274000000000001,0.2396042547454416,0,3,2
YAR014C,6.777777777777778,True,151,0,0.09847441670077775,66.543168,0.04287,709,0,0.2383,0.2789379407616361,0.4749999999999999,0.22910299968230016,168,2,2
YAR015W,1.0740740740740742,True,50,0,0.2718479087452471,47.05927882352941,0.12809,306,0,0.2156,0.21674705882352943,0.34543,0.29725118376238163,97,1,2
YAR018C,0.0,False,40,0,0.0,,0.11828,435,0,0.25046,0.2774947126436782,0.54155,0.23652724946007786,44,2,2
YAR019C,0.3333333333333333,False,0,0,0.0,29.59054666666667,0.04247,974,0,0.15216000000000002,0.2667094455852156,0.5511999999999999,0.247112854802653,74,2,3
YAR020C,0.0,False,0,0,0.0,,4.04692,55,0,0.19160000000000002,0.15727636363636363,0.0,0.29682725919444997,0,0,1
YAR023C,0.0,False,267,1,0.0,,0.20542,179,0,0.3165,0.30036983240223464,0.43889999999999996,0.20899612582944102,40,1,1
YAR027W,0.0,False,59,0,0.25624692737430166,1.8125485714285714,0.13227,235,0,0.2751,0.27896680851063826,0.49145000000000005,0.21229594249613948,178,1,2
YAR028W,0.7272727272727273,False,56,0,0.1724221052631579,59.142199999999995,0.08668,234,0,0.3917,0.29407606837606837,0.5412,0.21859727829514608,197,1,2
YAR029W,1.0,False,0,0,0.0,,0.45364,74,0,0.2192,0.270327027027027,0.34248,0.23047707601657044,0,1,1
YAR031W,0.0,False,0,0,0.0,4.821016666666668,0.04048,298,0,0.45719999999999994,0.2761604026845638,0.42085,0.21239766426589152,0,1,2
YAR033W,1.0,False,42,0,0.0,,0.21255,234,0,0.3474,0.26237435897435896,0.38344999999999996,0.20855125116893952,0,2,3
YAR035C-A,2.0,False,0,0,0.0,,,26,0,0.17886000000000002,0.35783076923076923,0.0,0.1269162449417532,0,1,3
YAR035W,0.0,False,56,0,0.0,,0.029769999999999998,687,0,0.23276000000000002,0.3203825327510917,0.4969,0.2765626019033281,0,2,2
YAR042W,0.7,True,94,0,0.0,,,1188,0,0.39770000000000005,0.24407828282828287,0.4434,0.26506718451500977,291,2,3
YAR050W,0.0,False,0,0,0.0,26.102736,0.022,1537,0,0.2639,0.21756330513988292,0.4418500000000001,0.2596521869664901,0,2,2
YAR064W,0.0,False,0,0,0.0,2.8534274999999996,0.17273,99,0,0.21870000000000003,0.24099595959595962,0.3087,0.2115213015964267,0,1,2
YAR066W,0.0,False,0,0,0.0,,,203,0,0.135,0.22751724137931034,0.35259999999999997,0.22169941792244865,0,1,2
YAR068W,0.0,False,0,0,0.5696049382716049,,0.13079000000000002,161,0,0.5436,0.3833987577639752,0.61455,0.18984687746491372,0,2,2
YAR071W,0.0,False,0,0,0.8450225783475784,166.18271249999998,0.1783,467,0,0.2789,0.1921134903640257,0.35345000000000004,0.25434974421411793,51,1,2
YBL001C,0.8846153846153846,False,68,0,-0.04450827423167848,3.5641839999999996,0.29070999999999997,104,0,0.24459999999999998,0.20238269230769232,0.27975000000000005,0.27947089854574997,51,1,2
YBL002W,0.14761904761904762,False,85,0,0.7549496062992126,0.0,0.26205,131,0,0.1254,0.14678625954198474,0.19185,0.37724770145178527,190,1,3
YBL003C,0.5614334470989761,False,65,0,0.47954828150572837,16.115743762376237,0.19464,132,0,0.0874,0.1421590909090909,0.22201999999999997,0.2773955833990657,147,1,2
YBL004W,0.375,False,91,0,0.0,2.3463000000000003,0.02905,2493,0,0.22555999999999998,0.2649048535900521,0.5031800000000002,0.231932448277068,60,2,4
YBL005W,0.0,False,40,0,0.0,9.513699999999998,0.06604,976,0,0.26656,0.2571231557377049,0.41879999999999995,0.23867414324437863,305,2,4
YBL005W-A,0.0,False,0,0,0.0,0.0,,440,0,0.12840000000000001,0.2771163636363636,0.4441,0.246019244475226,0,3,2
YBL005W-B,0.0,False,0,0,0.0,0.0,,1755,1,0.12840000000000001,0.2708965242165242,0.4832500000000001,0.22787521502137464,0,3,3
YBL006C,0.14285714285714285,False,26,0,0.16422067039106147,,0.14743,180,0,0.223,0.34921,0.5003500000000001,0.1917489680813208,156,1,5
YBL007C,1.023936170212766,False,48,0,0.38525303110173964,69.06101000000001,0.05671,1244,0,0.23040000000000002,0.2446953376205788,0.4332,0.27381567118219435,59,3,5
YBL008W,1.3333333333333333,True,0,0,0.0,25.10915,0.04032,840,0,0.2514,0.2629480952380952,0.43545,0.23113805047492345,0,1,4
YBL008W-A,0.0,False,0,0,-0.15379166666666666,,,79,0,0.3352,0.29008860759493676,0.38355,0.21005491516642993,0,1,2
YBL009W,1.0,False,61,1,0.179159122085048,,0.04547,676,0,0.37059999999999993,0.28870591715976335,0.5359499999999999,0.237892561826522,122,1,3
YBL010C,0.5,False,22,0,0.0,23.12731666666667,0.10415999999999999,280,0,0.37976,0.2763607142857143,0.4279,0.2481623406285899,257,2,4
YBL011W,1.0,False,0,0,0.33881496379726467,20.691720000000004,0.06125,759,0,0.4351999999999999,0.2465367588932806,0.43950000000000006,0.2647964886563542,206,2,3
YBL013W,0.0,False,0,0,0.0,,0.07095,401,0,0.28922000000000003,0.2875271820448878,0.5174300000000001,0.22626771718589378,0,2,3
YBL014C,0.0,False,0,0,0.0,10.449489999999999,0.01555,894,0,0.30569999999999997,0.2745391498881432,0.55245,0.22036507208000994,92,2,6
YBL015W,1.1428571428571428,True,78,0,0.15833771699105734,339.78790625,0.14932,526,0,0.25456,0.2378490494296578,0.41485000000000005,0.27658243579057673,242,2,2
YBL016W,0.625,False,226,1,0.29708674188998596,189.41,0.08461,353,0,0.26796000000000003,0.30724815864022664,0.4954299999999999,0.2403970332000703,130,2,2
YBL017C,0.8181818181818182,False,184,0,0.21892697646348824,99.58254999999998,0.007909999999999999,1579,0,0.27799999999999997,0.23938872704243191,0.39345,0.2280588842715003,47,2,4
YBL018C,0.5483870967741935,False,31,1,0.20262820512820515,69.98096333333334,0.25832,133,1,0.11775999999999998,0.23938195488721806,0.40520000000000006,0.22540489075834996,36,1,2
YBL019W,0.2727272727272727,True,61,0,0.0,30.15246,0.06516,520,0,0.32880000000000004,0.25676961538461535,0.4966499999999998,0.23137955950392206,0,2,3
YBL020W,2.0,False,158,1,0.19800866904640493,,0.11765999999999999,574,0,0.25450000000000006,0.25517909407665507,0.4141000000000001,0.24853806970101416,78,1,2
YBL021C,1.0,False,28,0,0.0,47.43258999999999,0.15394000000000002,144,0,0.19429999999999997,0.32640833333333336,0.45085,0.2746993269656341,159,2,3
YBL022C,0.723404255319149,False,113,0,0.21221976483762597,5.95188,0.07387,1133,0,0.22671999999999998,0.23749002647837597,0.4566,0.2812093634354078,57,2,2
YBL023C,0.1111111111111111,False,58,0,0.0,280.28259999999995,0.07836,868,0,0.14508,0.23544608294930874,0.41934999999999995,0.2569673348747084,194,2,6
YBL024W,0.391304347826087,False,112,0,0.2876456762749446,181.334172,0.11417999999999999,684,0,0.11832000000000001,0.2038853801169591,0.33628,0.27927318469391665,88,2,3
YBL025W,0.75,False,125,1,0.01477237048665621,,0.14893,145,0,0.24445999999999998,0.3058703448275862,0.4332,0.209099532715677,74,1,1
YBL026W,0.20437956204379562,True,65,0,0.2866507276507277,34.802682352941176,0.21053000000000002,95,1,0.1856,0.25104,0.29398,0.27356360135385394,131,1,2
YBL027W,0.17697228144989338,False,41,0,0.4867983918128655,0.0,0.14561,189,1,0.14696,0.11488148148148149,0.14035,0.4083331872385411,259,1,3
YBL028C,0.3404255319148936,False,39,0,0.11513843351548271,71.41295,0.26976,106,0,0.24570000000000003,0.17180754716981134,0.24767999999999998,0.3166932608373216,195,1,3
YBL029C-A,1.5,False,95,1,0.0,,,94,0,0.42119999999999996,0.2610063829787234,0.36260000000000003,0.23750005951767306,121,1,3
YBL029W,0.0,False,111,0,0.0,,,376,0,0.21329999999999996,0.3050101063829787,0.61905,0.21790077002396624,13,4,4
YBL030C,0.0830188679245283,False,121,0,0.5852595616024189,,0.18414,318,0,0.1307,0.16343459119496856,0.2475,0.259138224051854,275,2,3
YBL031W,0.0,False,21,0,0.0,0.98901,0.0673,338,0,0.2975,0.27686508875739646,0.51034,0.25617427700546835,226,2,3
YBL032W,1.06,False,76,0,0.6347017921146955,0.0,0.0907,381,0,0.3964,0.2373564304461942,0.42935,0.293569184319502,174,1,3
YBL033C,0.1111111111111111,False,29,0,0.13502300884955754,0.0,0.09466000000000001,345,0,0.2028,0.2781153623188406,0.46109999999999995,0.21283449242762897,63,1,3
YBL034C,0.0,False,68,0,0.0,3.7311883333333338,0.05304,1513,0,0.30489999999999995,0.26420423000660936,0.49162999999999996,0.24936535660298115,10,2,3
YBL035C,1.206896551724138,False,187,1,0.0887605752961083,169.257675,0.060270000000000004,705,0,0.16299999999999998,0.27834780141843973,0.47140000000000004,0.25124762868262407,59,1,4
YBL036C,0.14285714285714285,False,39,0,0.10785714285714286,0.0,0.14954,257,0,0.12789999999999999,0.19629961089494163,0.3045,0.2916987611747112,125,2,3
YBL037W,0.5,False,82,0,0.0,94.46093999999998,0.07704,1025,0,0.2967,0.2587639024390244,0.4323999999999999,0.24767709349619677,141,3,3
YBL038W,1.0,False,71,0,0.06498768472906405,6.751799999999999,0.10717,232,0,0.25936,0.2378439655172414,0.32399999999999995,0.2397745878331332,64,1,2
YBL039C,0.4396551724137931,True,55,0,0.39253658666666674,13.037557499999998,0.1197,579,0,0.19460000000000002,0.19690880829015547,0.3214499999999999,0.2592132388481916,96,1,3
YBL039W-B,1.6666666666666667,True,284,1,0.0,,,59,0,0.2145,0.26118983050847455,0.0,0.20998878624876086,117,1,3
YBL040C,1.0,False,99,0,0.11169250985545337,124.17884285714287,0.11515999999999998,219,1,0.12546,0.22155707762557078,0.34720000000000006,0.24371524501021677,78,1,2
YBL041W,0.68,True,98,0,0.3113688725490196,,0.13510999999999998,241,0,0.36119999999999997,0.24803402489626558,0.3948,0.22603035216542924,48,1,2
YBL042C,0.0,False,48,0,0.24351683816651076,0.0,0.12924000000000002,639,0,0.23689999999999997,0.2459195618153365,0.48464999999999997,0.24543267988169412,170,2,3
YBL043W,0.0,False,134,1,0.0,,0.17285999999999999,257,0,0.2874,0.24066225680933856,0.4253000000000001,0.22434349119979455,223,1,2
YBL044W,0.0,False,0,0,0.0,,0.19769,122,0,0.2239,0.2637360655737705,0.38715,0.2161682265095055,0,1,3
YBL045C,1.0,False,196,0,0.48208770917484134,18.125035,0.17115999999999998,457,0,0.42146,0.20866477024070024,0.41184999999999994,0.2998969662055011,163,1,3
YBL046W,0.0,False,38,0,0.0,41.625146666666666,0.08139,441,0,0.3364,0.25850340136054417,0.64185,0.226840315257237,314,1,4
YBL047C,1.375,False,153,0,0.38302370928428986,61.803466,0.026139999999999997,1381,0,0.17256000000000002,0.25004359160028966,0.43135,0.2759430863606429,214,3,2
YBL049W,0.0,False,224,0,0.0,,0.17272,138,0,0.1955,0.25125217391304344,0.45395,0.23566830914991513,266,1,2
YBL050W,1.0769230769230769,False,77,0,0.08956145526057031,,0.10017000000000001,292,1,0.40596,0.2666664383561644,0.5134999999999998,0.23074908933193375,63,1,2
YBL051C,0.6879432624113475,False,60,0,0.0,245.8047725,0.054270000000000006,668,0,0.325,0.2510203592814371,0.46740000000000004,0.25650656485831236,416,2,3
YBL052C,0.0,False,228,0,0.0,635.4672674999999,0.02115,831,0,0.40190000000000003,0.24690397111913356,0.41914999999999997,0.2390447607418812,48,2,8
YBL054W,2.0,True,131,0,0.15427054429028816,44.79764,0.045989999999999996,525,0,0.29819999999999997,0.26859085714285713,0.4418500000000001,0.25217231879181606,195,2,3
YBL055C,0.0,False,93,0,0.10662209711470795,18.663478333333334,0.12138,418,0,0.2365,0.2790421052631579,0.41089999999999993,0.23335159921739043,71,1,2
YBL056W,2.0232558139534884,False,111,0,0.311643995749203,160.2503288888889,0.09437000000000001,468,0,0.1718,0.23067435897435898,0.4143,0.22493743105733893,394,1,3
YBL057C,0.25,False,6,0,0.18790170940170942,37.552853999999996,0.11503,208,0,0.28490000000000004,0.2704076923076923,0.3858499999999999,0.2566536224834227,51,1,2
YBL058W,0.09649122807017543,False,52,0,0.20521395348837213,22.55165714285714,0.1378,423,0,0.3482,0.25578486997635935,0.45230000000000004,0.24110019393416873,118,1,3
YBL059C-A,0.8333333333333334,False,14,0,-0.07190763765541741,,,109,1,0.2562,0.23064220183486236,0.29888000000000003,0.2931391419599677,219,1,3
YBL059W,6.0,False,0,0,0.0,12.765122499999999,0.12524000000000002,193,1,0.25460000000000005,0.27992746113989636,0.38938000000000006,0.23329534245914693,46,1,5
YBL060W,0.25,False,67,0,0.0,,0.0512,687,0,0.28250000000000003,0.24915138282387195,0.42705000000000004,0.23983664229643295,46,1,3
YBL061C,0.5714285714285714,False,101,0,0.14754205195948922,251.44016249999999,0.04872,696,0,0.47759999999999997,0.2712471264367816,0.47154999999999997,0.22582542084417154,79,3,4
YBL063W,0.0,False,0,0,0.0,27.725879999999997,0.04847,1111,0,0.2016,0.2677576957695769,0.43900000000000006,0.24663408437760692,0,2,3
YBL064C,0.16546762589928057,False,33,0,0.04374539170506914,15.673916666666669,0.18859,261,0,0.17146,0.2358344827586207,0.42205000000000004,0.2816191006756934,49,2,3
YBL066C,0.0,False,0,0,0.0,0.744876,0.01285,1148,0,0.1678,0.2607186411149826,0.47028,0.23471503336699984,0,2,4
YBL067C,0.6702127659574468,False,267,0,0.0,4.54881,0.033839999999999995,747,0,0.19452,0.25273145917001344,0.4593,0.2321431574783637,105,2,4
YBL068W,0.35,True,54,1,0.1856084670231729,16.65744642857143,0.10205,326,0,0.2509,0.23014110429447857,0.3291,0.23843241422948377,84,1,2
YBL069W,0.5882352941176471,False,57,0,0.058675297410776775,155.7277,0.09974,429,0,0.23019999999999996,0.25982797202797203,0.43710000000000004,0.2489011699510913,82,1,2
YBL071C-B,0.0,False,0,0,0.0,,,32,0,0.3271,0.2435625,0.0,0.16742690745731348,0,0,2
YBL071W-A,0.3076923076923077,False,46,0,-0.056956848030018735,,,82,0,0.2149,0.28623170731707315,0.3399,0.2633130550588464,248,2,1
YBL072C,0.8928571428571429,False,315,0,0.3719187437686939,0.0,0.12147000000000001,200,0,0.123,0.114569,0.13526,0.34245482703263913,85,1,5
YBL074C,0.0,False,0,0,0.0,21.33476875,0.08192,355,0,0.2556,0.2687752112676056,0.39385000000000003,0.2434179289731359,0,1,2
YBL075C,0.0,False,133,1,0.0,58.48546,0.051879999999999996,649,0,0.16336,0.24062526964560862,0.39794999999999997,0.2525825718133697,67,2,3
YBL076C,0.009456264775413711,False,15,0,0.7159615268100576,90.002602,0.10422000000000001,1072,0,0.32300000000000006,0.1831490671641791,0.29864999999999997,0.28523367939367894,67,2,3
YBL078C,0.09090909090909091,False,39,0,0.0,6.746373333333334,0.25384,117,0,0.1648,0.25472820512820515,0.38745,0.30729308042022013,459,2,3
YBL079W,1.8571428571428572,True,27,0,0.19304339700996678,52.55261454545454,0.01284,1502,0,0.19559999999999997,0.25883249001331554,0.46365000000000006,0.24537447305104357,280,2,2
YBL080C,0.0,False,16,0,0.0,5.20344,0.06982000000000001,541,0,0.24630000000000002,0.26053456561922367,0.4497999999999999,0.25244140343006066,1231,3,3
YBL081W,0.5,False,303,0,0.0,,0.12692,368,0,0.3033,0.3099277173913043,0.53045,0.2706051217827827,59,2,2
YBL082C,1.0,True,41,0,0.5212156862745099,71.7987875,0.06806,458,0,0.20299999999999999,0.2775052401746725,0.4494000000000001,0.2420958744055897,0,2,2
YBL084C,1.3333333333333333,False,123,0,0.0,951.1517166666666,,758,0,0.37939999999999996,0.2888844327176781,0.59645,0.2150593638362213,139,2,3
YBL085W,1.1666666666666667,False,21,0,0.0,478.5281511111111,0.04663,980,0,0.3056,0.27294755102040813,0.49385,0.24313773991701398,90,2,3
YBL086C,1.0,False,115,0,0.0,23.971506666666667,0.05198,466,0,0.19780000000000003,0.26263862660944204,0.43744999999999995,0.2487959747549052,21,2,2
YBL087C,0.2350463352990733,False,72,0,0.2794464285714286,0.0,0.17563,137,1,0.1044,0.1377109489051095,0.18758,0.2558120424061381,123,1,3
