#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
585	YAL019W-A	chri	+	114249	114819	114249	114819	1	114249,	114819,	YAL019W-A
585	YAL020C	chri	-	113613	114615	113613	114615	1	113613,	114615,	ATS1
585	YAL068C	chri	-	1806	2169	1806	2169	1	1806,	2169,	PAU8
585	YAL036C	chri	-	75042	76152	75042	76152	1	75042,	76152,	RBG1
585	YAL034C	chri	-	80709	81951	80709	81951	1	80709,	81951,	FUN19
585	YAL053W	chri	+	45898	48250	45898	48250	1	45898,	48250,	FLC2
585	YAL043C	chri	-	58694	61052	58694	61052	1	58694,	61052,	PTA1
585	YAL062W	chri	+	31566	32940	31566	32940	1	31566,	32940,	GDH3
585	YAL033W	chri	+	82705	83227	82705	83227	1	82705,	83227,	POP5
585	YAL063C-A	chri	-	22394	22685	22394	22685	1	22394,	22685,	YAL063C-A
585	YAL044W-A	chri	+	57517	57850	57517	57850	1	57517,	57850,	YAL044W-A
585	YAL023C	chri	-	106271	108551	106271	108551	1	106271,	108551,	PMT2
585	YAL061W	chri	+	33447	34701	33447	34701	1	33447,	34701,	BDH2
585	YAL058W	chri	+	37463	38972	37463	38972	1	37463,	38972,	CNE1
585	YAL029C	chri	-	87854	92270	87854	92270	1	87854,	92270,	MYO4
585	YAL042W	chri	+	61315	62563	61315	62563	1	61315,	62563,	ERV46
585	YAL035W	chri	+	76426	79435	76426	79435	1	76426,	79435,	FUN12
585	YAL022C	chri	-	108876	110430	108876	110430	1	108876,	110430,	FUN26
585	YAL018C	chri	-	118563	119541	118563	119541	1	118563,	119541,	LDS1
585	YAL027W	chri	+	94686	95472	94686	95472	1	94686,	95472,	SAW1
586	YAL008W	chri	+	136913	137510	136913	137510	1	136913,	137510,	FUN14
586	YAR023C	chri	-	179280	179820	179280	179820	1	179280,	179820,	YAR023C
586	YAR003W	chri	+	155004	156285	155004	156285	1	155004,	156285,	SWD1
586	YAR028W	chri	+	184891	185596	184891	185596	1	184891,	185596,	YAR028W
586	YAR053W	chri	+	208366	208663	208366	208663	1	208366,	208663,	YAR053W
586	YAR033W	chri	+	188106	188811	188106	188811	1	188106,	188811,	MST28
586	YAR002W	chri	+	152256	153876	152256	153876	1	152256,	153876,	NUP60
586	YAR030C	chri	-	186511	186853	186511	186853	1	186511,	186853,	YAR030C
586	YAR073W	chri	+	227741	228953	227741	228953	1	227741,	228953,	IMD1
586	YAR050W	chri	+	203402	208016	203402	208016	1	203402,	208016,	FLO1
586	YAR042W	chri	+	192618	196185	192618	196185	1	192618,	196185,	SWH1
586	YAR014C	chri	-	166741	168871	166741	168871	1	166741,	168871,	BUD14
586	YAR060C	chri	-	217156	217492	217156	217492	1	217156,	217492,	YAR060C
586	YAR019W-A	chri	+	174997	175330	174997	175330	1	174997,	175330,	YAR019W-A
586	YAR035W	chri	+	190192	192256	190192	192256	1	190192,	192256,	YAT1
586	YAR069C	chri	-	224010	224304	224010	224304	1	224010,	224304,	YAR069C
586	YAL007C	chri	-	137697	138345	137697	138345	1	137697,	138345,	ERP2
586	YAR020C	chri	-	176855	177023	176855	177023	1	176855,	177023,	PAU7
586	YAL001C	chri	-	147593	151166	147593	151166	2	147593,151096,	151006,151166,	TFC3
586	YAL009W	chri	+	135853	136633	135853	136633	1	135853,	136633,	SPO7
586	YAR068W	chri	+	222405	222891	222405	222891	1	222405,	222891,	YAR068W
586	YAR075W	chri	+	228843	229317	228843	229317	1	228843,	229317,	YAR075W
586	YAR027W	chri	+	183769	184477	183769	184477	1	183769,	184477,	UIP3
586	YAL005C	chri	-	139502	141431	139502	141431	1	139502,	141431,	SSA1
586	YAR010C	chri	-	164543	165866	164543	165866	1	164543,	165866,	YAR010C_CDS
586	YAR002C-A	chri	-	154064	154724	154064	154724	1	154064,	154724,	ERP1
586	YAL004W	chri	+	140759	141407	140759	141407	1	140759,	141407,	YAL004W
586	YAR066W	chri	+	221048	221660	221048	221660	1	221048,	221660,	YAR066W
586	YAR029W	chri	+	186320	186545	186320	186545	1	186320,	186545,	YAR029W
586	YAR007C	chri	-	156753	158619	156753	158619	1	156753,	158619,	RFA1
586	YAR031W	chri	+	186835	187732	186835	187732	1	186835,	187732,	PRM9
586	YAR018C	chri	-	170395	171703	170395	171703	1	170395,	171703,	KIN3
586	YAL010C	chri	-	134183	135665	134183	135665	1	134183,	135665,	MDM10
586	YAR009C	chri	-	160596	164187	160596	164187	1	160596,	164187,	YAR009C_CDS
586	YAR035C-A	chri	-	192336	192417	192336	192417	1	192336,	192417,	YAR035C-A
586	YAL003W	chri	+	142173	143160	142173	143160	2	142173,142619,	142253,143160,	EFB1
586	YAR019C	chri	-	172210	175135	172210	175135	1	172210,	175135,	CDC15
586	YAR070C	chri	-	224562	224862	224562	224862	1	224562,	224862,	YAR070C
586	YAR008W	chri	+	158965	159793	158965	159793	1	158965,	159793,	SEN34
586	YAR047C	chri	-	201466	201787	201466	201787	1	201466,	201787,	YAR047C
586	YAL011W	chri	+	132198	134076	132198	134076	1	132198,	134076,	SWC3
586	YAR071W	chri	+	225459	226863	225459	226863	1	225459,	226863,	PHO11
586	YAR015W	chri	+	169374	170295	169374	170295	1	169374,	170295,	ADE1
586	YAL002W	chri	+	143706	147531	143706	147531	1	143706,	147531,	VPS8
586	YAR064W	chri	+	220197	220497	220197	220497	1	220197,	220497,	YAR064W
73	YER054C	chrv	-	262051	263698	262051	263698	1	262051,	263698,	GIP2
73	YER169W	chrv	+	523368	525759	523368	525759	1	523368,	525759,	RPH1
73	YER114C	chrv	-	390589	393712	390589	393712	1	390589,	393712,	BOI2
585	YEL059C-A	chrv	-	42399	42624	42399	42624	1	42399,	42624,	SOM1
585	YEL018W	chrv	+	121470	122310	121470	122310	1	121470,	122310,	EAF5
585	YEL021W	chrv	+	116166	116970	116166	116970	1	116166,	116970,	URA3
585	YEL074W	chrv	+	6125	6464	6125	6464	1	6125,	6464,	YEL074W
585	YEL056W	chrv	+	47167	48373	47167	48373	1	47167,	48373,	HAT2
585	YEL058W	chrv	+	43251	44925	43251	44925	1	43251,	44925,	PCM1
585	YEL062W	chrv	+	34406	36254	34406	36254	1	34406,	36254,	NPR2
585	YEL042W	chrv	+	73770	75327	73770	75327	1	73770,	75327,	GDA1
585	YEL050C	chrv	-	59669	60851	59669	60851	1	59669,	60851,	RML2
585	YEL020C	chrv	-	118616	120299	118616	120299	1	118616,	120299,	YEL020C
585	YEL053W-A	chrv	+	52907	53255	52907	53255	1	52907,	53255,	YEL053W-A
585	YEL019C	chrv	-	120497	121301	120497	121301	1	120497,	121301,	MMS21
585	YEL030C-A	chrv	-	94582	94897	94582	94897	1	94582,	94897,	YEL030C-A
585	YEL020C-B	chrv	-	117182	117380	117182	117380	1	117182,	117380,	YEL020C-B
585	YEL061C	chrv	-	36534	39537	36534	39537	1	36534,	39537,	CIN8
585	YEL051W	chrv	+	58377	59148	58377	59148	1	58377,	59148,	VMA8
585	YEL028W	chrv	+	98667	99129	98667	99129	1	98667,	99129,	YEL028W
585	YEL029C	chrv	-	96857	97796	96857	97796	1	96857,	97796,	BUD16
585	YEL045C	chrv	-	68839	69265	68839	69265	1	68839,	69265,	YEL045C
585	YEL059W	chrv	+	42651	42960	42651	42960	1	42651,	42960,	HHY1
585	YEL075C	chrv	-	5344	5713	5344	5713	1	5344,	5713,	YEL075C
585	YEL035C	chrv	-	85044	85545	85044	85545	1	85044,	85545,	UTR5
585	YEL069C	chrv	-	21536	23231	21536	23231	1	21536,	23231,	HXT13
585	YEL023C	chrv	-	108503	110552	108503	110552	1	108503,	110552,	YEL023C
585	YEL033W	chrv	+	86178	86598	86178	86598	1	86178,	86598,	MTC7
585	YEL077W-A	chrv	+	629	1112	629	1112	1	629,	1112,	YEL077W-A
585	YEL015W	chrv	+	126628	128284	126628	128284	1	126628,	128284,	EDC3
585	YEL040W	chrv	+	78052	79456	78052	79456	1	78052,	79456,	UTR2
585	YEL064C	chrv	-	29796	31239	29796	31239	1	29796,	31239,	AVT2
585	YEL032C-A	chrv	-	87039	87201	87039	87201	1	87039,	87201,	YEL032C-A
585	YEL072W	chrv	+	13719	14415	13719	14415	1	13719,	14415,	RMD6
585	YEL071W	chrv	+	16354	17845	16354	17845	1	16354,	17845,	DLD3
585	YEL034W	chrv	+	85675	86149	85675	86149	1	85675,	86149,	HYP2
585	YEL013W	chrv	+	128824	130561	128824	130561	1	128824,	130561,	VAC8
585	YEL022W	chrv	+	111420	115800	111420	115800	1	111420,	115800,	GEA2
585	YEL073C	chrv	-	7229	7553	7229	7553	1	7229,	7553,	YEL073C
585	YEL063C	chrv	-	31693	33466	31693	33466	1	31693,	33466,	CAN1
585	YEL076C-A	chrv	-	4184	5114	4184	5114	2	4184,4601,	4322,5114,	YEL076C-A
585	YEL053C	chrv	-	53900	56102	53900	56102	1	53900,	56102,	MAK10
585	YEL065W	chrv	+	27656	29543	27656	29543	1	27656,	29543,	SIT1
585	YEL043W	chrv	+	70477	73348	70477	73348	1	70477,	73348,	YEL043W
585	YEL055C	chrv	-	48470	51539	48470	51539	1	48470,	51539,	POL5
585	YEL075W-A	chrv	+	4869	5481	4869	5481	1	4869,	5481,	YEL075W-A
585	YEL031W	chrv	+	90257	93905	90257	93905	1	90257,	93905,	SPF1
585	YEL049W	chrv	+	63727	64090	63727	64090	1	63727,	64090,	PAU2
585	YEL017C-A	chrv	-	122797	122929	122797	122929	1	122797,	122929,	PMP2
585	YEL066W	chrv	+	26666	27206	26666	27206	1	26666,	27206,	HPA3
585	YEL046C	chrv	-	67628	68792	67628	68792	1	67628,	68792,	GLY1
585	YEL038W	chrv	+	80461	81145	80461	81145	1	80461,	81145,	UTR4
585	YEL017W	chrv	+	123656	124670	123656	124670	1	123656,	124670,	GTT3
585	YEL026W	chrv	+	101942	102323	101942	102323	1	101942,	102323,	SNU13
585	YEL070W	chrv	+	19588	21097	19588	21097	1	19588,	21097,	DSF1
585	YEL018C-A	chrv	-	121454	121988	121454	121988	1	121454,	121988,	YEL018C-A
585	YEL048C	chrv	-	64708	65167	64708	65167	1	64708,	65167,	TCA17
585	YEL052W	chrv	+	56570	58100	56570	58100	1	56570,	58100,	AFG1
585	YEL032W	chrv	+	86936	89852	86936	89852	1	86936,	89852,	MCM3
585	YEL041W	chrv	+	75943	77431	75943	77431	1	75943,	77431,	YEF1
585	YEL050W-A	chrv	+	59548	59740	59548	59740	1	59548,	59740,	YEL050W-A
585	YEL039C	chrv	-	79635	79977	79635	79977	1	79635,	79977,	CYC7
585	YEL014C	chrv	-	128302	128608	128302	128608	1	128302,	128608,	YEL014C
585	YEL025C	chrv	-	102580	106147	102580	106147	1	102580,	106147,	YEL025C
585	YEL057C	chrv	-	45019	45721	45019	45721	1	45019,	45721,	YEL057C
585	YEL027W	chrv	+	100768	101251	100768	101251	1	100768,	101251,	VMA3
585	YEL060C	chrv	-	40045	41953	40045	41953	1	40045,	41953,	PRB1
585	YEL067C	chrv	-	26188	26776	26188	26776	1	26188,	26776,	YEL067C
585	YEL076C	chrv	-	4463	5114	4463	5114	1	4463,	5114,	YEL076C
585	YEL044W	chrv	+	69756	70257	69756	70257	1	69756,	70257,	IES6
585	YEL068C	chrv	-	25645	25978	25645	25978	1	25645,	25978,	YEL068C
585	YEL036C	chrv	-	83049	84552	83049	84552	1	83049,	84552,	ANP1
585	YEL054C	chrv	-	52720	53218	52720	53218	1	52720,	53218,	RPL12A
585	YEL034C-A	chrv	-	85612	86215	85612	86215	1	85612,	86215,	YEL034C-A
585	YEL030W	chrv	+	94643	96578	94643	96578	1	94643,	96578,	ECM10
585	YEL047C	chrv	-	65384	66797	65384	66797	1	65384,	66797,	FRD1
585	YEL077C	chrv	-	263	4097	263	4097	1	263,	4097,	YEL077C
585	YEL024W	chrv	+	107259	107907	107259	107907	1	107259,	107907,	RIP1
585	YEL020W-A	chrv	+	117210	117474	117210	117474	1	117210,	117474,	TIM9
585	YEL037C	chrv	-	81406	82603	81406	82603	1	81406,	82603,	RAD23
585	YEL016C	chrv	-	124736	126218	124736	126218	1	124736,	126218,	NPP2
586	YER033C	chrv	-	218056	221287	218056	221287	1	218056,	221287,	ZRG8
586	YER053C	chrv	-	258736	259639	258736	259639	1	258736,	259639,	PIC2
586	YER014W	chrv	+	182599	184219	182599	184219	1	182599,	184219,	HEM14
586	YER043C	chrv	-	235769	237119	235769	237119	1	235769,	237119,	SAH1
586	YER022W	chrv	+	198811	200875	198811	200875	1	198811,	200875,	SRB4
586	YER002W	chrv	+	156802	157498	156802	157498	1	156802,	157498,	NOP16
586	YEL003W	chrv	+	148175	148599	148175	148599	2	148175,148282,	148194,148599,	GIM4
586	YER044C-A	chrv	-	238459	239774	238459	239774	2	238459,239711,	239623,239774,	MEI4
586	YER006C-A	chrv	-	164343	164661	164343	164661	1	164343,	164661,	YER006C-A
586	YEL005C	chrv	-	145906	146755	145906	146755	1	145906,	146755,	VAB2
586	YER042W	chrv	+	234936	235491	234936	235491	1	234936,	235491,	MXR1
586	YER030W	chrv	+	213436	213898	213436	213898	1	213436,	213898,	CHZ1
586	YER001W	chrv	+	153519	155808	153519	155808	1	153519,	155808,	MNN1
586	YER038C	chrv	-	226857	228252	226857	228252	1	226857,	228252,	KRE29
586	YEL010W	chrv	+	136278	136629	136278	136629	1	136278,	136629,	YEL010W
586	YEL002C	chrv	-	148721	150014	148721	150014	1	148721,	150014,	WBP1
586	YER023C-A	chrv	-	201521	201734	201521	201734	1	201521,	201734,	YER023C-A
586	YER039C-A	chrv	-	229262	229481	229262	229481	1	229262,	229481,	YER039C-A
586	YER051W	chrv	+	254655	256134	254655	256134	1	254655,	256134,	JHD1
586	YER004W	chrv	+	159579	160275	159579	160275	1	159579,	160275,	FMP52
586	YER028C	chrv	-	210691	211876	210691	211876	1	210691,	211876,	MIG3
586	YER045C	chrv	-	240031	241501	240031	241501	1	240031,	241501,	ACA1
586	YER020W	chrv	+	195167	196517	195167	196517	1	195167,	196517,	GPA2
586	YEL012W	chrv	+	131771	132551	131771	132551	2	131771,131899,	131776,132551,	UBC8
586	YEL008C-A	chrv	-	140725	140818	140725	140818	1	140725,	140818,	YEL008C-A
586	YER012W	chrv	+	177834	178431	177834	178431	1	177834,	178431,	PRE1
586	YEL008W	chrv	+	140511	140892	140511	140892	1	140511,	140892,	YEL008W
586	YER019W	chrv	+	192796	194230	192796	194230	1	192796,	194230,	ISC1
586	YEL001C	chrv	-	150300	150978	150300	150978	1	150300,	150978,	IRC22
586	YER044C	chrv	-	237569	238016	237569	238016	1	237569,	238016,	ERG28
586	YER023W	chrv	+	201075	201936	201075	201936	1	201075,	201936,	PRO3
586	YER052C	chrv	-	256374	257958	256374	257958	1	256374,	257958,	HOM3
586	YER003C	chrv	-	157735	159118	157735	159118	2	157735,159087,	158994,159118,	PMI40
586	YER025W	chrv	+	205250	206834	205250	206834	1	205250,	206834,	GCD11
586	YER013W	chrv	+	178840	182278	178840	182278	1	178840,	182278,	PRP22
586	YER032W	chrv	+	215062	217693	215062	217693	1	215062,	217693,	FIR1
586	YER037W	chrv	+	225888	226854	225888	226854	1	225888,	226854,	PHM8
586	YER053C-A	chrv	-	260932	261046	260932	261046	1	260932,	261046,	YER053C-A
586	YER006W	chrv	+	162722	164285	162722	164285	1	162722,	164285,	NUG1
586	YER026C	chrv	-	207643	208474	207643	208474	1	207643,	208474,	CHO1
586	YER047C	chrv	-	243809	246503	243809	246503	1	243809,	246503,	SAP1
586	YER010C	chrv	-	172633	173338	172633	173338	1	172633,	173338,	YER010C
586	YER007C-A	chrv	-	166236	166885	166236	166885	2	166236,166874,	166771,166885,	TMA20
586	YEL007W	chrv	+	141891	143892	141891	143892	1	141891,	143892,	MIT1
586	YER029C	chrv	-	212586	213177	212586	213177	1	212586,	213177,	SMB1
586	YER005W	chrv	+	160549	162442	160549	162442	1	160549,	162442,	YND1
586	YER021W	chrv	+	196947	198519	196947	198519	1	196947,	198519,	RPN3
586	YER048W-A	chrv	+	250717	251002	250717	251002	1	250717,	251002,	ISD11
586	YEL009C	chrv	-	138917	139763	138917	139763	1	138917,	139763,	GCN4
586	YER046W	chrv	+	243179	243611	243179	243611	1	243179,	243611,	SPO73
586	YER011W	chrv	+	175247	176012	175247	176012	1	175247,	176012,	TIR1
586	YER034W	chrv	+	221845	222403	221845	222403	1	221845,	222403,	YER034W
586	YEL006W	chrv	+	144326	145334	144326	145334	1	144326,	145334,	YEA6
586	YER046W-A	chrv	+	243699	244029	243699	244029	1	243699,	244029,	YER046W-A
586	YER050C	chrv	-	253970	254387	253970	254387	1	253970,	254387,	RSM18
586	YER018C	chrv	-	191958	192624	191958	192624	1	191958,	192624,	SPC25
586	YER031C	chrv	-	214075	214747	214075	214747	1	214075,	214747,	YPT31
586	YER016W	chrv	+	188276	189311	188276	189311	1	188276,	189311,	BIM1
586	YEL004W	chrv	+	146950	147979	146950	147979	1	146950,	147979,	YEA4
586	YEL009C-A	chrv	-	136370	136778	136370	136778	1	136370,	136778,	YEL009C-A
586	YER039C	chrv	-	228455	229205	228455	229205	1	228455,	229205,	HVG1
586	YER024W	chrv	+	202191	204963	202191	204963	1	202191,	204963,	YAT2
586	YER041W	chrv	+	232460	234740	232460	234740	1	232460,	234740,	YEN1
586	YER009W	chrv	+	172114	172492	172114	172492	1	172114,	172492,	NTF2
586	YER035W	chrv	+	222638	223076	222638	223076	1	222638,	223076,	EDC2
586	YEL011W	chrv	+	133119	135234	133119	135234	1	133119,	135234,	GLC3
586	YER019C-A	chrv	-	194272	194539	194272	194539	1	194272,	194539,	SBH2
586	YER049W	chrv	+	251727	253662	251727	253662	1	251727,	253662,	TPA1
586	YER008C	chrv	-	167807	171818	167807	171818	1	167807,	171818,	SEC3
586	YER015W	chrv	+	184540	186775	184540	186775	1	184540,	186775,	FAA2
586	YER007W	chrv	+	164526	166083	164526	166083	1	164526,	166083,	PAC2
586	YER027C	chrv	-	208978	210232	208978	210232	1	208978,	210232,	GAL83
586	YER017C	chrv	-	189502	191788	189502	191788	1	189502,	191788,	AFG3
586	YER036C	chrv	-	223366	225199	223366	225199	1	223366,	225199,	ARB1
586	YER038W-A	chrv	+	228450	228831	228450	228831	1	228450,	228831,	YER038W-A
586	YER040W	chrv	+	229794	231987	229794	231987	1	229794,	231987,	GLN3
586	YER048C	chrv	-	246981	248157	246981	248157	1	246981,	248157,	CAJ1
586	YER014C-A	chrv	-	183730	184700	183730	184700	2	183730,184677,	184169,184700,	BUD25
587	YER063W	chrv	+	281709	282366	281709	282366	1	281709,	282366,	THO1
587	YER091C-A	chrv	-	342389	342611	342389	342611	1	342389,	342611,	YER091C-A
587	YER100W	chrv	+	359561	360314	359561	360314	1	359561,	360314,	UBC6
587	YER110C	chrv	-	378761	382103	378761	382103	1	378761,	382103,	KAP123
587	YER082C	chrv	-	324271	325936	324271	325936	1	324271,	325936,	UTP7
587	YER109C	chrv	-	375214	377614	375214	377614	1	375214,	377614,	YER109C_CDS
587	YER107W-A	chrv	+	374393	374714	374393	374714	1	374393,	374714,	YER107W-A
587	YER094C	chrv	-	348728	349346	348728	349346	1	348728,	349346,	PUP3
587	YER092W	chrv	+	342854	343232	342854	343232	1	342854,	343232,	IES5
587	YER101C	chrv	-	360501	361794	360501	361794	1	360501,	361794,	AST2
587	YER078C	chrv	-	316806	318342	316806	318342	1	316806,	318342,	ICP55
587	YER062C	chrv	-	279929	280682	279929	280682	1	279929,	280682,	GPP2
587	YER095W	chrv	+	349979	351182	349979	351182	1	349979,	351182,	RAD51
587	YER090C-A	chrv	-	338321	338411	338321	338411	1	338321,	338411,	YER090C-A
587	YER098W	chrv	+	355465	357730	355465	357730	1	355465,	357730,	UBP9
587	YER081W	chrv	+	322685	324095	322685	324095	1	322685,	324095,	SER3
587	YER070W	chrv	+	298949	301616	298949	301616	1	298949,	301616,	RNR1
587	YER079C-A	chrv	-	319901	320240	319901	320240	1	319901,	320240,	YER079C-A
587	YER113C	chrv	-	387931	390052	387931	390052	1	387931,	390052,	TMN3
587	YER111C	chrv	-	382594	385876	382594	385876	1	382594,	385876,	SWI4
587	YER069W	chrv	+	295409	298001	295409	298001	1	295409,	298001,	ARG5%2C6
587	YER077C	chrv	-	314533	316600	314533	316600	1	314533,	316600,	YER077C
587	YER074W	chrv	+	306322	307196	306322	307196	2	306322,306791,	306325,307196,	RPS24A
587	YER061C	chrv	-	278297	279626	278297	279626	1	278297,	279626,	CEM1
587	YER059W	chrv	+	272623	273886	272623	273886	1	272623,	273886,	PCL6
587	YER087C-A	chrv	-	331816	332368	331816	332368	1	331816,	332368,	YER087C-A
587	YER084W	chrv	+	327064	327451	327064	327451	1	327064,	327451,	YER084W
587	YER086W	chrv	+	328476	330207	328476	330207	1	328476,	330207,	ILV1
587	YER060W	chrv	+	274566	276153	274566	276153	1	274566,	276153,	FCY21
587	YER068C-A	chrv	-	295300	295732	295300	295732	1	295300,	295732,	YER068C-A
587	YER056C-A	chrv	-	269422	270185	269422	270185	2	269422,270148,	269751,270185,	RPL34A
587	YER088C-A	chrv	-	335695	336019	335695	336019	1	335695,	336019,	YER088C-A
587	YER103W	chrv	+	364588	366517	364588	366517	1	364588,	366517,	SSA4
587	YER078W-A	chrv	+	318645	318810	318645	318810	1	318645,	318810,	YER078W-A
587	YER076W-A	chrv	+	313389	313737	313389	313737	1	313389,	313737,	YER076W-A
587	YER058W	chrv	+	271767	272091	271767	272091	1	271767,	272091,	PET117
587	YER072W	chrv	+	302805	303195	302805	303195	1	302805,	303195,	VTC1
587	YER057C	chrv	-	270736	271126	270736	271126	1	270736,	271126,	HMF1
587	YER068W	chrv	+	293049	294813	293049	294813	1	293049,	294813,	MOT2
587	YER088C	chrv	-	333175	335188	333175	335188	1	333175,	335188,	DOT6
587	YER093C-A	chrv	-	347911	348400	347911	348400	2	347911,348276,	348201,348400,	AIM11
587	YER090W	chrv	+	337948	339472	337948	339472	1	337948,	339472,	TRP2
587	YER104W	chrv	+	366801	367428	366801	367428	1	366801,	367428,	RTT105
587	YER084W-A	chrv	+	327597	328110	327597	328110	1	327597,	328110,	YER084W-A
587	YER067W	chrv	+	292065	292551	292065	292551	1	292065,	292551,	RGI1
587	YER105C	chrv	-	367837	372013	367837	372013	1	367837,	372013,	NUP157
587	YER067C-A	chrv	-	292239	292563	292239	292563	1	292239,	292563,	YER067C-A
587	YER093C	chrv	-	343319	347612	343319	347612	1	343319,	347612,	TSC11
587	YER073W	chrv	+	304029	305592	304029	305592	1	304029,	305592,	ALD5
587	YER091C	chrv	-	339863	342167	339863	342167	1	339863,	342167,	MET6
587	YER079W	chrv	+	318919	319552	318919	319552	1	318919,	319552,	YER079W
587	YER085C	chrv	-	327618	328140	327618	328140	1	327618,	328140,	YER085C
587	YER066W	chrv	+	290241	290799	290241	290799	1	290241,	290799,	RRT13
587	YER099C	chrv	-	358104	359061	358104	359061	1	358104,	359061,	PRS2
587	YER055C	chrv	-	264891	265785	264891	265785	1	264891,	265785,	HIS1
587	YER088W-B	chrv	+	335926	336073	335926	336073	1	335926,	336073,	YER088W-B
587	YER106W	chrv	+	372325	373234	372325	373234	1	372325,	373234,	MAM1
