ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YAL067C,SEO1,68842,593,0,,0.3
YAL067W-A,,8759,75,,,
YAL068C,,12850,120,0,,1.4
YAL068W-A,,9656,84,,,
YAL069W,,11336,104,0,,0.2
YAR002C-A,ERP1,24723,219,15292,0.021004,1.7
YAR002W,NUP60,59039,539,3024,0.04621,0.8
YAR003W,SWD1,48654,426,762,0.016504,0.7
YAR007C,RFA1,70347,621,3444,0.019804,0.6
YAR008W,SEN34,31313,275,4539,0.000891,1.3
YAR014C,BUD14,79062,707,1392,0.023902,0.5
YAR015W,ADE1,34603,306,8887,0.009002,1.7
YAR018C,KIN3,51203,435,0,,0.5
YAR019C,CDC15,110283,974,1396,0.006359,0.3
YAR019W-A,,12706,114,,,
YAR020C,PAU7,5674,55,0,,3.9
YAR023C,,20621,179,0,,0.2
YAR027W,UIP3,27116,235,1424,0.000891,0.7
YAR028W,,26458,234,1587,0.01118,0.3
YAR029W,,8910,74,0,,0.1
YAR030C,,13288,113,0,,0.4
YAR031W,PRM9,35073,298,217,0.006665,0.3
YAR033W,MST28,27091,234,0,,0.4
YAR035C-A,,3320,26,,,
YAR035W,YAT1,77765,687,0,,0.2
YAR042W,SWH1,135096,1188,0,,0.3
YAR047C,,12896,106,0,,0.3
YAR050W,FLO1,160667,1537,14648,0.000891,0.5
YAR053W,,11143,98,0,,0.2
YAR060C,,12860,111,0,,0.2
YAR064W,,11139,99,1281,0.000891,0.4
YAR066W,,20593,203,0,,0.4
YAR068W,,18011,161,0,,0.9
YAR069C,,10917,97,0,,0.3
YAR070C,,11605,99,0,,0.5
YAR071W,PHO11,52757,467,959,0.069315,0.4
YAR073W,IMD1,44386,403,0,,1
YAR075W,,17003,157,0,,1.7
YBL001C,ECM15,11518,104,1594,0.00559,2.5
YBL002W,HTB2,14237,131,154456,0,8.3
YBL003C,HTA2,13989,132,39212,0.004151,10.1
YBL004W,UTP20,287557,2493,2370,0.000891,0.9
YBL005W,PDR3,112570,976,140,0.013591,0.2
YBL006C,LDB7,19792,180,0,,1.5
YBL006W-A,,5640,49,,,
YBL007C,SLA1,135847,1244,4085,0.016906,1
YBL008W,HIR1,93889,840,710,0.014146,0.4
YBL008W-A,,9481,79,,,
YBL009W,ALK2,76372,676,0,,0.2
YBL010C,,32639,280,1111,0.006245,0.3
YBL011W,SCT1,85694,759,3060,0.003381,0.5
YBL012C,,15301,133,0,,0.5
YBL013W,FMT1,44616,401,1141,0.000891,
YBL014C,RRN6,102033,894,199,0.021004,0.4
YBL015W,ACH1,58711,526,2353,0.115525,0.8
YBL016W,FUS3,40772,353,5875,0.01612,0.5
YBL017C,PEP1,177776,1579,3448,0.023105,0.8
YBL018C,POP8,15512,133,4089,0.015403,0.9
YBL019W,APN2,59445,520,348,0.017329,0.2
YBL020W,RFT1,66210,574,0,,0.5
YBL021C,HAP3,16154,144,1396,0.013591,0.4
YBL022C,PIM1,127111,1133,6680,0.000891,1
YBL023C,MCM2,98779,868,10028,0.00559,0.2
YBL024W,NCL1,77878,684,9418,0.019254,1
YBL025W,RRN10,16505,145,1273,,0.4
YBL026W,LSM2,11163,95,2646,0.02236,1.7
YBL027W,RPL19B,21704,189,120698,0,10.6
YBL028C,,12401,106,6769,0.009495,0.9
YBL029C-A,,11161,94,1272,0.057762,
YBL029W,,42604,376,1052,,0.3
YBL030C,PET9,34426,318,0,,6.2
YBL031W,SHE1,38015,338,222,0.000891,0.2
YBL032W,HEK2,41683,381,11037,0,0.9
YBL033C,RIB1,38332,345,5597,0,0.7
YBL034C,STU1,174176,1513,323,0.006931,0.6
YBL035C,POL12,78774,705,5079,0.01333,0.4
YBL036C,,29123,257,3701,0,1
YBL037W,APL3,115010,1025,1281,0.014748,0.2
YBL038W,MRPL16,26518,232,2420,0.002511,0.9
YBL039C,URA7,64710,579,23412,0.001782,3.2
YBL039C-A,,3401,27,,,
YBL039W-B,,6873,59,,,
YBL040C,ERD2,25762,219,24079,0.00722,1.4
YBL041W,PRE7,26871,241,0,,2.1
YBL042C,FUI1,72164,639,6703,0,0.8
YBL043W,ECM13,28562,257,0,,0.2
YBL044W,,13850,122,0,,0.2
YBL045C,COR1,50227,457,9131,0.002382,1.2
YBL046W,PSY4,50655,441,1171,0.010664,0.3
YBL047C,EDE1,150782,1381,6598,0.009367,1
YBL048W,,12447,103,0,,0.4
YBL049W,MOH1,16085,138,0,,0.1
YBL050W,SEC17,32802,292,0,,1.1
YBL051C,PIN4,73775,668,2837,0.034657,0.4
YBL052C,SAS3,97582,831,2567,0.099021,0.4
YBL053W,,13194,124,0,,0.2
YBL054W,,59225,525,698,0.038508,0.6
YBL055C,,47390,418,937,0.011951,0.6
YBL056W,PTC3,51389,468,11236,0.012836,0.9
YBL057C,PTH2,23128,214,1842,0.020387,1
YBL058W,SHP1,46987,423,2824,0.01118,1.4
YBL059C-A,,12947,109,235,0.011951,
YBL059W,,22278,193,523,0.009763,0.4
YBL060W,,78767,687,942,,0.3
YBL061C,SKT5,77066,696,2902,0.069315,0.8
YBL062W,,14415,126,0,,0.5
YBL063W,KIP1,125793,1111,48,0.231049,0.4
YBL064C,PRX1,29496,261,3175,0.005924,1.2
YBL065W,,13830,114,,,
YBL066C,SEF1,127991,1148,418,0.000891,0.5
YBL067C,UBP13,83864,747,105,0.021661,0.5
YBL068W,PRS4,35846,327,3903,0.005975,1.4
YBL068W-A,,9173,78,,,
YBL069W,AST1,48348,429,674,0.115525,0.5
YBL070C,,11547,106,0,,2.8
YBL071C,,11539,102,0,,0.5
YBL071C-B,,3853,32,,,
YBL071W-A,KTI11,9356,82,8729,0.000891,
YBL072C,RPS8A,22489,200,150137,0,59.8
YBL073W,,12087,103,0,,0.6
YBL074C,AAR2,41688,355,6155,0.002773,0.8
YBL075C,SSA3,70546,649,2987,0.011748,0.6
YBL076C,ILS1,122982,1072,28565,0.007877,2.5
YBL077W,,16327,143,0,,1.8
YBL078C,ATG8,13627,117,1688,0.002398,0.6
YBL079W,NUP170,169473,1502,1668,0.034657,1.1
YBL080C,PET112,61842,541,1168,0.000891,0.2
YBL081W,,40767,368,0,,0.5
YBL082C,ALG3,52860,458,1243,0.023105,0.4
YBL083C,,16159,141,0,,0.6
YBL084C,CDC27,85436,758,1235,0.231049,0.3
YBL085W,BOI1,109294,980,1864,0.231049,0.9
YBL086C,,51996,466,332,0.021661,0.3
YBL087C,RPL23A,14473,137,91009,0,27
YBL088C,TEL1,321565,2787,4044,0.000891,0.7
YBL089W,AVT5,50891,459,0,,0.4
YBL090W,MRP21,20394,177,1065,0.010502,0.7
YBL091C,MAP2,47502,421,2024,0.019254,2.3
YBL091C-A,SCS22,19678,175,301,0.04621,
YBL092W,RPL32,14771,130,63816,0,21.9
YBL093C,ROX3,24857,220,2862,0.005635,0.8
YBL094C,,12079,110,0,,0.4
YBL095W,,30545,270,592,0.015068,0.4
YBL096C,,11087,102,0,,0.6
YBL097W,BRN1,86230,754,592,0.231049,0.6
YBL098W,BNA4,52429,460,467,0.003961,0.4
YBL099W,ATP1,58617,545,20967,0.014146,3.1
YBL100C,,11250,104,,,
YBL100W-C,,4642,39,,,
YBL101C,ECM21,123608,1117,673,0.010193,0.5
YBL102W,SFT2,24274,215,873,0.000891,1.4
YBL103C,RTG3,54139,486,886,0.019254,0.3
YBL104C,,117635,1038,528,0.000891,0.4
YBL105C,PKC1,131518,1151,2063,0.000891,0.4
YBL106C,SRO77,111677,1010,0,,0.2
YBL107C,,22966,196,645,0.086643,0.6
YBL107W-A,,4053,34,,,
YBL108C-A,,4524,42,,,
YBL108W,,11662,101,0,,0.2
YBL109W,,12882,111,0,,0.1
YBL111C,,76246,667,235,0.000891,0.4
YBL112C,,11974,105,0,,0.9
YBL113C,,86976,792,0,,2.5
YBL113W-A,,18616,160,,,
YBR001C,NTH2,89679,780,2102,0.023902,0.3
YBR002C,RER2,32693,286,5166,0.000891,0.7
YBR003W,COQ1,52559,473,1218,0.01083,0.7
YBR004C,GPI18,50772,433,0,,0.7
YBR005W,RCR1,23886,213,699,0.000891,1.1
YBR006W,UGA2,54189,497,1221,,0.4
YBR007C,DSF2,82408,736,317,0.034657,0.3
YBR008C,FLR1,61628,548,3784,0.000891,1.1
YBR009C,HHF1,11368,103,232689,0.01118,8.6
YBR010W,HHT1,15356,136,179162,0,27.2
YBR011C,IPP1,32299,287,55884,0.000785,6.2
YBR012C,,16067,139,0,,0.5
YBR013C,,14481,129,7705,0.000891,0.5
YBR014C,,22565,203,4056,0.000891,1.2
YBR015C,MNN2,67773,597,3640,0.04621,0.6
YBR016W,,14617,128,1170,0.007073,2
YBR017C,KAP104,103680,918,1900,0.016906,0.6
YBR018C,GAL7,42385,366,0,,0.2
YBR019C,GAL10,78195,699,0,,0.5
YBR020W,GAL1,57944,528,0,,0.4
YBR021W,FUR4,71735,633,0,,0.4
YBR022W,POA1,19938,177,982,0.010664,0.6
YBR023C,CHS3,131600,1165,1904,0.014146,1
YBR024W,SCO2,34888,301,1247,0.053319,0.5
YBR025C,,44174,394,33236,0.005097,6
YBR026C,ETR1,42067,380,1314,0.030137,0.8
YBR027C,,12841,110,0,,0.3
YBR028C,,59591,525,1796,0.01083,0.5
YBR029C,CDS1,51822,457,0,,1.6
YBR030W,,62593,552,6622,0.018734,0.3
YBR031W,RPL4A,39092,362,244233,0,37.2
YBR032W,,11485,100,0,,0.3
YBR033W,EDS1,103396,919,0,,0.5
YBR034C,HMT1,39786,348,19175,0.01612,2
YBR035C,PDX3,26908,228,0,,2.2
YBR036C,CSG2,45442,410,10771,0.02236,1.6
YBR037C,SCO1,33166,295,1519,0.009367,0.4
YBR038W,CHS2,109881,963,0,,1.3
YBR039W,ATP3,34350,311,17719,0,3
YBR040W,FIG1,33775,298,0,,0.2
YBR041W,FAT1,77140,669,14186,0.000891,1
YBR042C,CST26,45515,397,1688,0.000891,0.9
YBR043C,QDR3,77300,689,235,0.023105,0.4
YBR044C,TCM62,64258,573,0,,0.2
YBR045C,GIP1,65837,573,,,
YBR046C,ZTA1,37018,334,1094,0.346574,0.6
YBR047W,,20512,175,1812,0.000891,0.3
YBR048W,RPS11B,17749,156,61339,0,11.6
YBR049C,REB1,91874,810,6372,0.057762,0.9
YBR050C,REG2,38747,338,0,,0.4
YBR051W,,13438,116,0,,0.3
YBR052C,RFS1,22921,210,5356,0,1.6
YBR053C,,40295,358,3523,0.034657,0.8
YBR054W,YRO2,38719,344,3537,0.008351,2.4
YBR055C,PRP6,104228,899,2851,0.346574,0.4
YBR056C-B,,5740,52,,,
YBR056W,,57822,501,1647,0.231049,0.5
YBR056W-A,,7328,66,,,
YBR057C,MUM2,41433,366,2856,0.017329,0.2
YBR058C,UBP14,88629,781,2397,0.017773,0.4
YBR058C-A,TSC3,9579,80,1852,0.000891,
YBR059C,AKL1,123989,1108,6108,0.005291,0.5
YBR060C,ORC2,71238,620,895,0.027726,0.3
YBR061C,TRM7,34700,310,2430,0.017773,0.7
YBR062C,,20596,180,164,0.086643,1.5
YBR063C,,46444,404,0,,0.4
YBR064W,,16039,142,0,,1
YBR065C,ECM2,40924,364,3575,0.016906,0.2
YBR066C,NRG2,25009,220,592,0.069315,0.6
YBR067C,TIP1,20727,210,20228,0.002975,4.5
YBR068C,BAP2,67670,609,17672,0.038508,1.5
YBR069C,TAT1,68757,619,6401,0.016504,1.4
YBR070C,ALG14,27035,237,1040,0.01612,0.7
YBR071W,,23548,211,1006,0.231049,0.6
YBR072C-A,,6143,53,,,
YBR072W,HSP26,23879,214,8533,0,1
YBR073W,RDH54,104152,924,891,0.023105,1
YBR074W,,111067,976,5347,0.000891,0.3
YBR076C-A,,10625,88,,,
YBR076W,ECM8,40178,339,0,,0.4
YBR077C,SLM4,18354,162,2734,0.001286,0.8
YBR078W,ECM33,48236,468,0,,4.3
YBR079C,RPG1,110343,964,39333,0.000891,1.3
YBR080C,SEC18,84055,758,4719,0.018734,0.7
YBR081C,SPT7,152616,1332,1426,0.003591,0.5
YBR082C,UBC4,16456,148,11718,0.057762,7.2
YBR083W,TEC1,55157,486,445,0.000891,0.5
YBR084C-A,RPL19A,21704,189,115271,0,5.3
YBR084W,MIS1,106216,975,6282,0.009495,1.5
YBR085C-A,,9404,85,7472,0.000891,
YBR085W,AAC3,33313,307,910,0.033007,0.7
YBR086C,IST2,105853,946,1846,0.001438,2.7
YBR087W,RFC5,39941,354,2031,0.005023,1.1
YBR088C,POL30,28916,258,22442,0.000891,2.3
YBR089C-A,NHP6B,11575,99,4879,0.00673,0.3
YBR089W,,22094,199,0,,0.6
YBR090C,,14307,122,10042,0.000891,2.2
YBR091C,MRS5,12284,109,0,,0.7
YBR092C,PHO3,52776,467,957,0.077016,2.2
YBR093C,PHO5,52858,467,934,0.038508,0.4
YBR094W,PBY1,86438,753,1078,0.346574,0.3
YBR095C,RXT2,48629,430,1104,0.009627,0.4
YBR096W,,27092,230,1636,0.021661,1.9
YBR097W,VPS15,166357,1454,563,0.346574,0.8
YBR098W,MMS4,78763,691,0,,0.9
YBR099C,,14784,127,0,,0.3
YBR101C,FES1,32604,290,10699,0.004501,1.7
YBR102C,EXO84,85537,753,857,0.000891,0.3
YBR103C-A,,5602,47,,,
YBR103W,SIF2,59161,535,1358,0.017773,0.4
YBR104W,YMC2,36555,329,886,0.043322,0.6
YBR105C,VID24,41245,362,5097,0,0.8
YBR106W,PHO88,21137,188,43086,0.006863,9.9
YBR107C,IML3,28066,245,105,0.000891,0.4
YBR108W,,103834,947,352,0.000891,0.3
YBR109C,CMD1,16135,147,22617,0.000891,4.3
YBR109W-A,,8558,74,,,
YBR110W,ALG1,51929,449,1575,0.000891,0.5
YBR111C,YSA1,26087,231,6155,0.003573,2.8
YBR111W-A,SUS1,11084,96,,,
YBR112C,CYC8,107201,966,3268,0.053319,0.5
YBR113W,,18098,160,0,,0.4
YBR114W,RAD16,91430,790,309,0.021004,0.3
YBR115C,LYS2,155344,1392,6681,0.005924,2.2
YBR116C,,20215,175,,,
YBR117C,TKL2,75029,681,125,0.000891,0.2
YBR118W,TEF2,50032,458,487518,0.023105,44.6
YBR119W,MUD1,34378,298,2477,0,0.6
YBR120C,CBP6,18679,162,2200,0.000741,0.9
YBR121C,GRS1,75410,667,49866,0.015753,3.9
YBR121C-A,,6235,52,,,
YBR122C,MRPL36,20091,177,2104,0.024755,0.9
YBR123C,TFC1,73553,649,6981,0.031507,0.4
YBR124W,,13219,119,0,,0.3
YBR125C,PTC4,44175,393,125,0.01118,0.6
YBR126C,TPS1,56147,495,12634,0,1.8
YBR126W-A,,7759,68,,,
YBR126W-B,,5170,47,,,
YBR127C,VMA2,57749,517,59177,0.023902,3.8
YBR128C,ATG14,40453,344,0,,0.3
YBR129C,OPY1,37739,328,1314,0.077016,0.8
YBR130C,SHE3,47416,425,1464,0.009902,0.5
YBR131C-A,,3679,29,,,
YBR131W,CCZ1,80732,704,3888,0.023105,0.2
YBR132C,AGP2,67261,596,2111,0.007788,0.2
YBR133C,HSL7,95152,827,994,0.049511,0.6
YBR134W,,15524,133,,,
YBR135W,CKS1,17795,150,5058,0.01333,0.8
YBR136W,MEC1,273339,2368,452,0.000891,1.4
YBR137W,,20484,179,1006,0.043322,0.7
YBR138C,,60458,524,164,0.138629,0.2
YBR139W,,57638,508,1191,0.038508,0.7
YBR140C,IRA1,350976,3092,424,0.000891,0.7
YBR141C,,38539,337,523,0.053319,0.4
YBR141W-A,,3562,31,,,
YBR142W,MAK5,87047,773,1549,0.005458,1.3
YBR143C,SUP45,49005,437,20014,0.01118,2.9
YBR144C,,12318,104,0,,0.4
YBR145W,ADH5,37648,351,2107,0.000891,1.7
YBR146W,MRPS9,31925,278,0,,1.1
YBR147W,,33496,296,0,,0.7
YBR148W,YSW1,70174,609,0,,0.3
YBR149W,ARA1,38883,344,13317,0.00722,1.8
YBR150C,TBS1,126902,1094,481,0.009495,0.3
YBR151W,APD1,35759,316,1885,0.012603,1.1
YBR152W,SPP381,33772,291,1686,0.015403,0.4
YBR153W,RIB7,27116,244,0,,0.5
YBR154C,RPB5,25079,215,0,,3
YBR155W,CNS1,44112,385,2005,0.021004,0.7
YBR156C,SLI15,79185,698,263,0.053319,0.4
YBR157C,ICS2,28772,255,0,,0.4
YBR158W,AMN1,62686,549,2233,0.040773,2.1
YBR159W,,38708,347,21832,0.000702,3.6
YBR160W,CDC28,34061,298,5390,0,1.1
YBR161W,CSH1,44382,376,4924,0.000891,0.3
YBR162C,TOS1,47994,455,7841,0.010345,3.8
YBR162W-A,YSY6,7365,65,1140,0.173287,1.5
YBR163W,DEM1,67569,585,1809,0.025672,0.5
YBR164C,ARL1,20434,183,4752,0,1.5
YBR165W,UBS1,32197,277,0,,0.6
YBR166C,TYR1,50923,452,1984,0.008774,0.7
YBR167C,POP7,15814,140,1898,,0.6
YBR168W,PEX32,48578,413,863,0.014146,0.3
YBR169C,SSE2,77620,693,3011,0.000132,0.5
YBR170C,NPL4,65782,580,1549,0.023902,0.5
YBR171W,SEC66,24231,206,7213,0,1.7
YBR172C,SMY2,81396,740,2337,0.036481,0.6
YBR173C,UMP1,16760,148,2306,0.040773,1.6
YBR174C,,11457,104,0,,0.6
YBR175W,SWD3,34753,315,1983,0.000587,0.6
YBR176W,ECM31,34465,312,1191,0.005874,0.3
YBR177C,EHT1,51255,451,2821,0,1.2
YBR178W,,14440,124,0,,0.7
YBR179C,FZO1,97807,855,853,0.028881,0.4
YBR180W,DTR1,63406,572,0,,0.2
YBR181C,RPS6B,26996,236,17947,0,16.3
YBR182C,SMP1,49414,452,0,,0.2
YBR182C-A,,7379,64,,,
YBR183W,YPC1,36419,316,0,,0.8
YBR184W,,60642,523,480,0.000891,0.4
YBR185C,MBA1,31811,278,1887,0.003707,0.8
YBR186W,PCH2,63460,564,0,,0.5
YBR187W,,30340,280,2199,0.000891,2.5
YBR188C,NTC20,15970,140,894,0,0.4
YBR189W,RPS9B,22298,195,132654,0,11.7
YBR190W,,11027,103,0,,0.3
YBR191W,RPL21A,18242,160,59047,0,56.4
YBR191W-A,,3109,24,,,
YBR192W,RIM2,42101,377,1767,0.000891,0.5
YBR193C,MED8,25268,223,1724,0,0.5
YBR194W,,14234,123,1142,,0.3
YBR195C,MSI1,47364,422,125,0.02236,0.4
YBR196C,PGI1,61299,554,204268,0.001284,9.2
YBR196C-A,,6255,49,,,
YBR196C-B,,3925,34,,,
YBR197C,,24203,217,1146,0.007453,0.3
YBR198C,TAF5,88967,798,12461,0.033007,0.6
YBR199W,KTR4,54556,464,2732,0.057762,1
YBR200W,BEM1,61605,551,3642,0.036481,0.4
YBR200W-A,,6460,54,,,
YBR201C-A,,7718,67,,,
YBR201W,DER1,24391,211,200,0.231049,0.7
YBR202W,CDC47,94874,845,9543,0.000891,0.4
YBR203W,COS111,104503,924,0,,0.3
YBR204C,,43316,375,0,,0.4
YBR205W,KTR3,47482,404,683,0.040773,1.1
YBR206W,,11838,107,0,,1.6
YBR207W,FTH1,51494,465,2800,0.011552,1.4
YBR208C,"DUR1,2",201830,1835,2010,0.015403,0.8
YBR209W,,12127,105,,,
YBR210W,ERV15,16347,142,0,,1.2
YBR211C,AME1,37461,324,1069,0.010193,0.8
YBR212W,NGR1,75023,672,1500,0.024755,0.4
YBR213W,MET8,31917,274,0,,0.5
YBR214W,SDS24,57187,527,10316,0.012836,0.6
YBR215W,HPC2,67775,625,200,0.043322,0.7
YBR216C,YBP1,77740,674,1925,0.030137,0.4
YBR217W,ATG12,21106,186,0,,1.3
YBR218C,PYC2,130166,1180,12207,0.017329,1
YBR219C,,14787,127,0,,0.8
YBR220C,,63009,560,0,,0.8
YBR221C,PDB1,40053,366,7624,0.009627,4.1
YBR221W-A,,4086,34,,,
YBR222C,PCS60,60488,543,5580,0.025672,0.6
YBR223C,TDP1,62333,544,1791,0.000891,1
YBR223W-A,,4380,39,,,
YBR224W,,19323,171,0,,1.6
YBR225W,,101235,900,523,0.077016,0.6
YBR226C,,15803,136,0,,0.5
YBR227C,MCX1,57945,520,5018,0.008351,0.3
YBR228W,SLX1,35856,304,0,,0.4
YBR229C,ROT2,110265,954,200,0.025672,0.5
YBR230C,OM14,14609,134,3990,0,2.2
YBR230W-A,,7615,66,,,
YBR231C,SWC5,34343,303,1413,0.031507,0.3
YBR232C,,12749,119,0,,0.3
YBR233W,PBP2,45782,413,1336,0.019254,0.2
YBR233W-A,DAD3,10848,94,899,0.00304,
YBR234C,ARC40,42475,384,4348,0.010502,1.3
YBR235W,,123997,1120,1189,,0.3
YBR236C,ABD1,50341,436,945,0.000891,0.7
YBR237W,PRP5,96358,849,579,0.000891,0.3
YBR238C,,83761,731,1081,0.036481,0.4
YBR239C,,60310,529,72,0.043322,0.2
YBR240C,THI2,51822,450,0,,0.1
YBR241C,,53525,488,1279,0.00806,0.7
YBR242W,,27576,238,1633,0.021004,1
YBR243C,ALG7,50367,448,0,,0.5
YBR244W,GPX2,18406,162,3758,0.004126,2
YBR245C,ISW1,131101,1129,1797,0.018734,0.4
YBR246W,,43308,387,3517,0.008351,0.6
YBR247C,ENP1,55136,483,11595,0.019804,0.6
YBR248C,HIS7,61068,552,11208,0.012378,0.9
YBR249C,ARO4,39749,370,23291,0.009763,5.4
YBR250W,SPO23,59919,523,825,0.000891,0.2
YBR251W,MRPS5,34883,307,3230,0.003448,0.3
YBR252W,DUT1,15307,147,2969,0,2.6
YBR253W,SRB6,13863,121,1496,0.003938,0.6
YBR254C,TRS20,19700,175,903,0.000891,1.1
YBR255C-A,,13741,120,,,
YBR255W,,79027,694,332,0.231049,0.3
YBR256C,RIB5,26196,238,6135,0.002476,1.2
YBR257W,POP4,32881,279,0,,0.6
YBR258C,SHG1,16429,142,1281,0.015403,0.4
YBR259W,,80426,688,1370,,0.4
YBR260C,RGD1,74618,666,1341,0.015403,0.4
YBR261C,,26068,232,2571,0,1.1
YBR262C,,12388,106,2189,0,1.5
YBR263W,SHM1,53686,490,6106,0.01612,1.8
YBR264C,YPT10,21834,199,1146,0.01216,0.7
YBR265W,TSC10,35986,320,3919,0.003365,0.8
YBR266C,SLM6,16042,150,285,0.063013,0.4
YBR267W,REI1,45834,393,3193,0.005975,0.7
YBR268W,MRPL37,11949,105,1142,0,1.4
YBR269C,,15504,138,1909,0.000891,1
YBR270C,,61301,545,0,,0.2
YBR271W,,47976,419,182,0.008664,0.4
YBR272C,HSM3,55542,480,550,0.04621,0.3
YBR273C,UBX7,50030,436,1842,0.014748,0.7
YBR274W,CHK1,60016,527,2121,0.023105,0.6
YBR275C,RIF1,217959,1916,1282,0.000891,0.3
YBR276C,PPS1,91684,807,0,,0.8
YBR277C,,14650,133,,,
YBR278W,DPB3,22665,201,658,0.000597,0.6
YBR279W,PAF1,51800,445,2217,0.005924,1
YBR280C,SAF1,70495,637,0,,0.3
YBR281C,DUG2,98070,878,3056,0.012378,0.3
YBR282W,MRPL27,16492,146,1488,0.005251,0.9
YBR283C,SSH1,53311,490,9721,0.000891,2.4
YBR284W,,92903,797,0,,0.4
YBR285W,,16833,144,0,,0.3
YBR286W,APE3,60137,537,2894,0.077016,6.7
YBR287W,,47506,427,3881,0.023902,1.1
YBR288C,APM3,54879,483,1830,0.008774,0.6
YBR289W,SNF5,102556,905,1360,0.231049,0.3
YBR290W,BSD2,35763,321,2153,0.014441,0.8
YBR291C,CTP1,32173,299,5994,0.000891,1.7
YBR292C,,14420,123,0,,0.3
YBR293W,VBA2,51676,474,7928,0.000891,0.5
YBR294W,SUL1,95950,859,0,,0.2
YBR295W,PCA1,131838,1216,2708,0.000891,0.2
YBR296C,PHO89,62653,574,785,0.000891,0.2
YBR296C-A,,4514,39,,,
YBR297W,MAL33,54193,468,0,,0.2
