ORF,5_UTR
YDL014W,110
YDL015C,53
YDL019C,213
YDL020C,203
YDL021W,45
YDL022W,65
YDL025C,85
YDL025W-A,151
YDL027C,46
YDL028C,114
YDL029W,20
YDL043C,43
YDL045C,144
YDL045W-A,49
YDL046W,12
YDL047W,237
YDL049C,177
YDL051W,37
YDL052C,58
YDL053C,198
YDL054C,82
YDL055C,149
YDL059C,41
YDL061C,32
YDL063C,91
YDL064W,43
YDL066W,25
YDL067C,46
YDL069C,129
YDL070W,29
YDL072C,44
YDL074C,79
YDL075W,31
YDL076C,137
YDL078C,56
YDL079C,96
YDL080C,195
YDL081C,66
YDL082W,29
YDL083C,20
YDL084W,168
YDL085C-A,47
YDL085W,51
YDL086C-A,134
YDL086W,14
YDL087C,16
YDL088C,128
YDL090C,29
YDL091C,94
YDL092W,23
YDL095W,44
YDL097C,40
YDL098C,10
YDL099W,70
YDL100C,34
YDL103C,47
YDL109C,17
YDL110C,57
YDL111C,67
YDL113C,56
YDL114W,62
YDL115C,263
YDL119C,34
YDL120W,78
YDL121C,22
YDL122W,428
YDL123W,32
YDL124W,49
YDL125C,146
YDL126C,52
YDL127W,593
YDL128W,57
YDL130W,29
YDL130W-A,19
YDL131W,36
YDL132W,299
YDL133C-A,18
YDL133W,135
YDL134C,488
YDL136W,33
YDL137W,160
YDL140C,516
YDL142C,65
YDL143W,35
YDL146W,122
YDL147W,43
YDL149W,20
YDL155W,130
YDL157C,18
YDL159W,46
YDL160C,288
YDL161W,16
YDL165W,39
YDL166C,59
YDL169C,31
YDL170W,20
YDL173W,37
YDL174C,65
YDL176W,140
YDL178W,16
YDL181W,86
YDL182W,17
YDL184C,22
YDL185W,101
YDL186W,8
YDL188C,164
YDL190C,193
YDL191W,17
YDL192W,43
YDL193W,107
YDL198C,22
YDL203C,159
YDL204W,9
YDL208W,28
YDL212W,44
YDL213C,19
YDL214C,143
YDL217C,162
YDL218W,29
YDL222C,99
YDL224C,373
YDL226C,31
YDL229W,30
YDL230W,26
YDL231C,105
YDL232W,19
YDL234C,137
YDL235C,115
YDL236W,66
YDL239C,19
YDL241W,172
YDL246C,318
YDL248W,18
YDR002W,56
YDR003W,45
YDR005C,141
YDR006C,151
YDR007W,20
YDR009W,162
YDR012W,14
YDR013W,16
YDR016C,28
YDR018C,29
YDR019C,17
YDR021W,80
YDR022C,159
YDR023W,22
YDR025W,24
YDR028C,460
YDR031W,33
YDR032C,59
YDR033W,246
YDR034W-B,12
YDR035W,28
YDR037W,455
YDR040C,108
YDR041W,33
YDR042C,66
YDR043C,181
YDR044W,127
YDR045C,155
YDR046C,208
YDR047W,344
YDR050C,30
YDR051C,46
YDR054C,154
YDR055W,61
YDR056C,56
YDR059C,19
YDR060W,602
YDR062W,355
YDR063W,83
YDR064W,21
YDR065W,62
YDR068W,40
YDR070C,60
YDR071C,67
YDR072C,126
YDR073W,282
YDR077W,43
YDR079C-A,36
YDR079W,32
YDR082W,92
YDR084C,26
YDR086C,91
YDR087C,29
YDR090C,50
YDR091C,57
YDR092W,29
YDR096W,524
YDR099W,146
YDR100W,19
YDR104C,49
YDR107C,27
YDR113C,85
YDR115W,43
YDR117C,38
YDR118W,71
YDR119W,88
YDR119W-A,48
YDR121W,110
YDR122W,268
YDR127W,246
YDR129C,60
YDR134C,52
YDR137W,88
YDR139C,29
YDR140W,14
YDR142C,148
YDR143C,125
YDR145W,58
YDR147W,49
YDR148C,103
YDR151C,42
YDR152W,24
YDR153C,99
YDR155C,37
YDR156W,34
YDR158W,35
YDR160W,154
YDR162C,124
YDR163W,52
YDR167W,32
YDR168W,60
YDR169C,342
YDR171W,86
YDR172W,53
YDR174W,21
YDR175C,41
YDR177W,104
YDR178W,104
YDR180W,144
YDR182W,50
YDR185C,99
YDR186C,66
YDR188W,72
YDR194C,17
YDR195W,249
YDR196C,11
YDR197W,29
YDR200C,65
YDR202C,23
YDR204W,28
YDR205W,13
YDR206W,338
YDR208W,167
YDR210W,32
YDR214W,134
YDR218C,72
YDR219C,235
YDR222W,211
YDR224C,34
YDR225W,72
YDR226W,23
YDR228C,718
YDR229W,101
YDR231C,25
YDR232W,251
YDR233C,124
YDR234W,64
YDR236C,226
YDR237W,142
YDR244W,25
YDR245W,69
YDR246W,35
YDR247W,252
YDR248C,103
YDR251W,306
YDR252W,6
YDR253C,199
YDR254W,68
YDR255C,52
YDR256C,45
YDR257C,17
YDR258C,30
YDR260C,37
YDR262W,8
YDR263C,139
YDR265W,63
YDR270W,102
YDR272W,37
YDR273W,27
YDR275W,262
YDR276C,41
YDR277C,157
YDR281C,46
YDR284C,334
YDR285W,244
YDR286C,14
YDR287W,141
YDR288W,40
YDR289C,79
YDR294C,60
YDR295C,263
YDR296W,61
YDR297W,91
YDR298C,118
YDR300C,67
YDR302W,43
YDR304C,18
YDR308C,28
YDR309C,110
YDR310C,302
YDR311W,25
YDR313C,42
YDR317W,43
YDR319C,47
YDR320C,62
YDR320C-A,14
YDR322C-A,10
YDR323C,30
YDR328C,67
YDR329C,32
YDR330W,60
YDR331W,24
YDR336W,7
YDR337W,53
YDR339C,21
YDR341C,53
YDR342C,86
YDR345C,32
YDR348C,193
YDR351W,221
YDR353W,48
YDR354W,54
YDR357C,79
YDR358W,40
YDR361C,34
YDR363W,147
YDR363W-A,16
YDR367W,56
YDR368W,51
YDR370C,39
YDR371W,40
YDR372C,289
YDR373W,45
YDR374C,87
YDR374W-A,21
YDR377W,70
YDR378C,18
YDR379C-A,64
YDR380W,117
YDR381C-A,1
YDR381W,97
YDR382W,81
YDR384C,69
YDR385W,505
YDR387C,146
YDR388W,19
YDR391C,19
YDR392W,43
YDR394W,82
YDR397C,50
YDR398W,366
YDR399W,67
YDR400W,43
YDR402C,29
YDR403W,34
YDR404C,207
YDR405W,46
YDR408C,40
YDR410C,52
YDR411C,68
YDR415C,35
YDR416W,27
YDR418W,34
YDR419W,3
YDR424C,36
YDR425W,60
YDR427W,32
YDR428C,33
YDR432W,20
YDR434W,85
YDR435C,14
YDR438W,56
YDR439W,87
YDR441C,113
YDR446W,14
YDR447C,30
YDR449C,488
YDR450W,21
YDR452W,51
YDR453C,72
YDR454C,26
YDR456W,59
YDR461C-A,22
YDR461W,103
YDR462W,54
YDR468C,115
YDR471W,22
YDR473C,66
YDR476C,210
YDR477W,281
YDR479C,58
YDR480W,200
YDR481C,55
YDR483W,30
YDR485C,27
YDR486C,31
YDR487C,64
YDR489W,13
YDR490C,85
YDR492W,179
YDR494W,14
YDR497C,66
YDR500C,20
YDR502C,47
YDR508C,44
YDR510W,53
YDR513W,22
YDR515W,218
YDR516C,56
YDR517W,130
YDR519W,45
YDR523C,184
YDR524C-B,45
YDR525W-A,28
YDR527W,81
YDR529C,42
YDR530C,8
YDR531W,52
YDR533C,39
YDR534C,99
YDR536W,321
YDR539W,40
YEL001C,222
YEL002C,50
YEL003W,29
YEL004W,22
YEL005C,32
YEL005W,20
YEL006W,23
YEL007W,204
YEL009C,598
YEL011W,31
YEL012W,95
YEL015W,33
YEL016C,205
YEL017C-A,39
YEL017W,30
YEL018W,4
YEL020W-A,64
YEL021W,20
YEL022W,617
YEL023C,20
YEL024W,83
YEL025C,763
YEL026W,90
YEL027W,63
YEL028W,574
YEL030W,25
YEL034W,53
YEL037C,175
YEL038W,9
YEL039C,89
YEL040W,134
YEL041W,267
YEL042W,143
YEL046C,106
YEL048C,21
YEL050C,64
YEL051W,47
YEL052W,30
YEL054C,27
YEL056W,38
YEL057C,77
YEL058W,31
YEL059C-A,48
YEL060C,55
YEL063C,156
YEL064C,40
YEL065W,36
YEL071W,35
YEL073C,95
YER001W,556
YER002W,64
YER003C,20
YER004W,7
YER005W,91
YER007C-A,20
YER009W,25
YER010C,11
YER012W,54
YER015W,76
YER016W,22
YER017C,86
YER019C-A,52
YER019W,352
YER020W,52
YER021W,43
YER022W,36
YER023W,28
YER024W,22
YER025W,68
YER026C,35
YER027C,79
YER029C,66
YER030W,8
YER031C,33
YER035W,75
YER037W,25
YER040W,82
YER042W,53
YER043C,26
YER044C,60
YER046W,81
YER047C,184
YER048C,86
YER048W-A,67
YER050C,53
YER051W,20
YER053C,98
YER053C-A,50
YER054C,440
YER055C,67
YER056C-A,8
YER057C,41
YER058W,22
YER059W,176
YER061C,40
YER062C,66
YER063W,88
YER064C,70
YER065C,48
YER067W,76
YER068W,91
YER069W,49
YER070W,48
YER071C,102
YER072W,16
YER073W,156
YER074W,52
YER074W-A,20
YER076C,491
YER079W,92
YER080W,40
YER082C,43
YER083C,27
YER085C,42
YER086W,50
YER087C-B,42
YER088C,168
YER089C,306
YER090W,53
YER091C,70
YER092W,30
YER094C,80
YER099C,104
YER100W,81
YER102W,26
YER103W,54
YER105C,21
YER106W,47
YER109C,171
YER112W,88
YER113C,173
YER115C,178
YER116C,100
YER117W,28
YER120W,26
YER121W,21
YER122C,1
YER123W,182
YER125W,489
YER126C,69
YER131W,23
YER132C,274
YER133W,69
YER134C,40
YER136W,137
YER139C,128
YER141W,32
YER142C,60
YER143W,35
YER145C,21
YER146W,42
YER148W,189
YER150W,32
YER156C,16
YER158C,220
YER158W-A,44
YER159C,111
YER165W,142
YER167W,376
YER170W,23
YER173W,23
YER174C,141
YER175C,19
YER177W,39
YER178W,33
YER179W,20
YER180C,37
YER180C-A,39
YER182W,35
YER183C,13
YER184C,384
YER186C,179
YER187W,676
YER188W,7
YFL001W,17
YFL002C,16
YFL004W,66
YFL005W,108
YFL007W,142
YFL010C,29
YFL011W,58
YFL012W,92
YFL013C,422
YFL014W,59
YFL016C,6
YFL017C,27
YFL017W-A,59
YFL018C,54
YFL025C,79
YFL028C,32
YFL029C,36
YFL030W,39
YFL031W,66
YFL034C-A,37
YFL034C-B,41
YFL037W,65
YFL038C,34
YFL039C,120
YFL040W,41
YFL041W,21
YFL044C,19
YFL045C,75
YFL046W,22
YFL054C,31
YFR001W,38
YFR003C,45
YFR004W,38
YFR006W,34
YFR009W,72
YFR010W,66
YFR011C,24
YFR012W,56
YFR014C,34
YFR015C,89
YFR017C,66
YFR018C,46
YFR020W,131
YFR021W,93
YFR023W,94
YFR024C-A,37
YFR027W,75
YFR028C,278
YFR029W,64
YFR030W,84
YFR031C-A,19
YFR032C,25
YFR032C-A,25
YFR033C,121
YFR036W,22
YFR040W,308
YFR041C,15
YFR042W,48
YFR043C,14
YFR044C,23
YFR045W,82
YFR047C,37
YFR049W,165
YFR050C,46
YFR051C,29
YFR052W,40
YFR053C,104
YFR055W,46
YGL001C,62
YGL002W,111
YGL003C,75
YGL004C,4
YGL005C,22
YGL006W,279
YGL007C-A,96
YGL008C,236
YGL010W,50
YGL011C,36
YGL012W,41
YGL013C,162
YGL014W,398
YGL015C,87
YGL017W,33
YGL022W,68
YGL026C,18
YGL028C,173
YGL030W,52
YGL031C,25
YGL033W,29
YGL035C,10
YGL037C,88
YGL038C,102
YGL039W,115
YGL041W-A,251
YGL043W,22
YGL047W,87
YGL048C,33
YGL050W,29
YGL053W,92
YGL054C,73
YGL055W,62
YGL056C,94
YGL058W,68
YGL059W,37
YGL067W,82
YGL068W,35
YGL071W,492
YGL076C,22
YGL078C,77
YGL080W,34
YGL081W,191
YGL082W,78
YGL083W,92
YGL085W,43
YGL087C,33
YGL089C,37
YGL091C,80
YGL093W,98
YGL096W,96
YGL097W,25
YGL098W,109
YGL100W,28
YGL103W,16
YGL105W,35
YGL106W,29
YGL112C,20
YGL115W,116
YGL116W,215
YGL117W,82
YGL119W,10
YGL121C,120
YGL122C,36
YGL123W,98
YGL127C,14
YGL130W,34
YGL135W,64
YGL136C,50
YGL138C,54
YGL142C,35
YGL145W,368
YGL146C,100
YGL147C,17
YGL148W,13
YGL153W,40
YGL154C,4
YGL155W,56
YGL157W,52
YGL158W,140
YGL159W,41
YGL161C,91
YGL162W,147
YGL164C,11
YGL166W,35
YGL169W,62
YGL170C,26
YGL172W,7
YGL174W,14
YGL175C,25
YGL180W,570
YGL181W,47
YGL183C,64
YGL184C,197
YGL186C,24
YGL187C,121
YGL189C,46
YGL190C,325
YGL191W,28
YGL192W,36
YGL194C-A,158
YGL196W,77
YGL198W,22
YGL200C,24
YGL202W,42
YGL204C,103
YGL205W,152
YGL208W,35
YGL209W,44
YGL210W,20
YGL215W,472
YGL219C,27
YGL221C,11
YGL222C,69
YGL223C,13
YGL224C,106
YGL225W,69
YGL226C-A,40
YGL227W,34
YGL228W,40
YGL230C,106
YGL231C,14
YGL232W,16
YGL234W,65
YGL237C,62
YGL238W,16
YGL242C,56
YGL244W,56
YGL245W,22
YGL247W,20
YGL252C,60
YGL253W,47
YGL256W,240
YGR001C,14
YGR005C,33
YGR008C,87
YGR009C,40
YGR013W,23
YGR015C,2
YGR017W,127
YGR019W,317
YGR020C,64
YGR021W,21
YGR023W,162
YGR024C,44
YGR026W,127
YGR027C,34
YGR028W,25
YGR031W,72
YGR033C,108
YGR034W,36
YGR035C,88
YGR036C,178
YGR037C,62
YGR038W,138
YGR043C,33
YGR044C,109
YGR046W,82
YGR048W,45
YGR049W,68
YGR050C,88
YGR052W,455
YGR053C,232
YGR054W,171
YGR055W,66
YGR058W,24
YGR059W,146
YGR060W,46
YGR063C,17
YGR065C,18
YGR066C,85
YGR067C,77
YGR072W,40
YGR074W,14
YGR076C,63
YGR078C,57
YGR080W,20
YGR082W,47
YGR085C,23
YGR086C,88
YGR087C,171
YGR088W,25
YGR095C,83
YGR097W,85
YGR101W,60
YGR102C,6
YGR105W,58
YGR106C,57
YGR108W,166
YGR109C,224
YGR110W,38
YGR111W,28
YGR112W,72
YGR117C,32
YGR118W,23
YGR122C-A,414
YGR123C,31
YGR124W,21
YGR129W,22
YGR130C,100
YGR131W,470
YGR132C,40
YGR135W,78
YGR136W,25
YGR138C,414
YGR141W,42
YGR142W,59
YGR143W,288
YGR144W,362
YGR146C,291
YGR148C,29
YGR149W,127
YGR152C,165
YGR153W,21
YGR154C,50
YGR155W,67
YGR156W,163
YGR157W,305
YGR158C,62
YGR159C,44
YGR161C,94
YGR161W-C,43
YGR166W,80
YGR167W,61
YGR168C,54
YGR169C-A,99
YGR172C,30
YGR174W-A,124
YGR175C,27
YGR180C,27
YGR181W,20
YGR183C,19
YGR185C,32
YGR189C,298
YGR191W,180
YGR192C,39
YGR193C,89
YGR194C,411
YGR198W,32
YGR199W,44
YGR202C,59
YGR204C-A,9
YGR204W,43
YGR205W,130
YGR206W,21
YGR207C,26
YGR208W,51
YGR209C,49
YGR214W,18
YGR220C,10
YGR221C,90
YGR223C,59
YGR225W,129
YGR227W,87
YGR229C,276
YGR230W,348
YGR231C,53
YGR232W,22
YGR234W,20
YGR235C,71
YGR236C,54
YGR237C,86
YGR238C,93
YGR239C,61
YGR240C,247
YGR241C,137
YGR243W,95
YGR244C,114
YGR246C,8
YGR247W,96
YGR248W,34
YGR249W,69
YGR252W,504
YGR253C,54
YGR254W,37
YGR256W,51
YGR257C,110
YGR262C,22
YGR266W,268
YGR267C,158
YGR268C,19
YGR272C,50
YGR273C,35
YGR275W,14
YGR276C,37
YGR277C,5
YGR279C,95
YGR280C,215
YGR281W,840
YGR282C,34
YGR283C,36
YGR284C,40
YGR288W,35
YGR294W,260
YGR295C,7
YHL001W,28
YHL002W,342
YHL003C,104
YHL004W,64
YHL009C,119
YHL010C,53
YHL011C,89
YHL012W,60
YHL013C,14
YHL015W,30
YHL020C,84
YHL021C,60
YHL024W,156
YHL025W,290
YHL026C,150
YHL027W,99
YHL029C,26
YHL030W,12
YHL033C,12
YHL034C,111
YHL035C,18
YHL036W,30
YHL039W,21
YHL040C,136
YHL041W,773
YHL044W,17
YHL048W,18
YHR001W,54
YHR001W-A,56
YHR003C,11
YHR004C,100
YHR005C-A,34
YHR007C,143
YHR008C,42
YHR009C,235
YHR010W,32
YHR011W,25
YHR012W,21
YHR013C,32
YHR014W,38
YHR015W,22
YHR016C,20
YHR017W,30
YHR018C,55
YHR019C,34
YHR021C,37
YHR025W,33
YHR026W,115
YHR027C,12
YHR029C,13
YHR032W-A,255
YHR033W,15
YHR035W,30
YHR037W,7
YHR039C-A,17
YHR041C,11
YHR042W,50
YHR043C,90
YHR046C,62
YHR049W,42
YHR050W,183
YHR051W,160
YHR052W,40
YHR057C,23
YHR061C,210
YHR062C,21
YHR063C,43
YHR064C,33
YHR065C,15
YHR068W,64
YHR069C,26
YHR071W,357
YHR072W,38
YHR072W-A,57
YHR075C,56
YHR076W,16
YHR078W,323
YHR079C-A,11
YHR081W,4
YHR082C,864
YHR084W,341
YHR085W,23
YHR086W,197
YHR087W,75
YHR088W,27
YHR089C,53
YHR090C,36
YHR091C,65
YHR092C,75
YHR094C,32
YHR096C,208
YHR097C,17
YHR101C,32
YHR102W,166
YHR104W,51
YHR105W,112
YHR108W,20
YHR109W,25
YHR110W,31
YHR113W,43
YHR115C,188
YHR117W,122
YHR122W,45
YHR123W,37
YHR124W,160
YHR127W,13
YHR128W,63
YHR131C,75
YHR132C,23
YHR132W-A,69
YHR135C,91
YHR137W,26
YHR138C,11
YHR140W,18
YHR141C,33
YHR142W,123
YHR143W,259
YHR143W-A,30
YHR146W,29
YHR147C,35
YHR148W,20
YHR150W,53
YHR152W,94
YHR153C,7
YHR154W,52
YHR156C,53
YHR157W,215
YHR160C,21
YHR161C,286
YHR162W,170
YHR163W,18
YHR166C,92
YHR171W,9
YHR172W,120
YHR173C,497
YHR174W,30
YHR176W,95
YHR179W,57
YHR181W,49
YHR183W,73
YHR184W,16
YHR185C,98
YHR190W,42
YHR191C,33
YHR192W,37
YHR193C,24
YHR195W,181
YHR199C,18
YHR199C-A,20
YHR200W,15
YHR202W,22
YHR203C,39
YHR205W,452
YHR208W,23
YHR209W,148
YHR215W,47
YIL001W,48
YIL002W-A,28
YIL003W,46
YIL004C,15
YIL006W,13
YIL007C,26
YIL008W,64
YIL010W,37
YIL011W,32
YIL013C,122
YIL016W,25
YIL018W,24
YIL021W,62
YIL022W,109
YIL023C,15
YIL024C,52
YIL030C,70
YIL031W,411
YIL033C,149
YIL034C,13
YIL036W,159
YIL039W,61
YIL040W,9
YIL041W,18
YIL043C,11
YIL045W,98
YIL047C,214
YIL048W,258
YIL050W,122
YIL051C,55
YIL052C,31
YIL053W,33
YIL055C,53
YIL056W,84
YIL057C,87
YIL059C,503
YIL062C,38
YIL065C,41
YIL066C,136
YIL069C,40
YIL070C,34
YIL071C,30
YIL072W,51
YIL074C,121
YIL075C,36
YIL076W,12
YIL077C,1
YIL078W,40
YIL083C,80
YIL085C,42
YIL087C,74
YIL088C,49
YIL090W,127
YIL094C,42
YIL097W,9
YIL099W,12
YIL101C,114
YIL102C-A,36
YIL105C,138
YIL105W-A,44
YIL106W,101
YIL107C,173
YIL111W,29
YIL112W,38
YIL113W,34
YIL116W,34
YIL117C,152
YIL118W,159
YIL119C,114
YIL121W,25
YIL122W,257
YIL124W,136
YIL125W,226
YIL132C,14
YIL133C,22
YIL135C,98
YIL136W,8
YIL137C,393
YIL138C,22
YIL139C,28
YIL142W,32
YIL143C,30
YIL144W,64
YIL145C,73
YIL146C,350
YIL148W,15
YIL152W,38
YIL154C,23
YIL155C,44
YIL156W-B,8
YIL157C,16
YIL160C,35
YIL161W,7
YIL162W,39
YIL164C,30
YIR004W,48
YIR005W,22
YIR006C,28
YIR009W,26
YIR010W,68
YIR011C,16
YIR013C,9
YIR014W,22
YIR016W,50
YIR018C-A,823
YIR018W,21
YIR019C,17
YIR020C,757
YIR022W,42
YIR025W,17
YIR029W,84
YIR030W-A,617
YIR032C,11
YIR034C,6
YIR035C,22
YIR036C,34
YIR037W,61
YIR038C,11
YIR039C,152
YIR044C,13
YJL001W,50
YJL002C,52
YJL003W,100
YJL004C,396
YJL005W,134
YJL006C,30
YJL011C,72
YJL012C,20
YJL024C,22
YJL026W,50
YJL030W,29
YJL031C,35
YJL034W,47
YJL036W,72
YJL037W,73
YJL038C,79
YJL043W,42
YJL044C,37
YJL045W,109
YJL047C,104
YJL048C,94
YJL052W,74
YJL055W,33
YJL057C,17
YJL062W-A,23
YJL065C,11
YJL066C,24
YJL068C,21
YJL070C,15
YJL077W-A,154
YJL079C,164
YJL082W,54
YJL084C,577
YJL088W,26
YJL089W,124
YJL094C,45
YJL096W,37
YJL097W,22
YJL099W,64
YJL100W,446
YJL103C,201
YJL104W,38
YJL106W,271
YJL107C,671
YJL111W,54
YJL112W,370
YJL116C,205
YJL117W,50
YJL121C,12
YJL122W,14
YJL123C,8
YJL124C,162
YJL125C,28
YJL127C-B,81
YJL131C,40
YJL132W,57
YJL133C-A,29
YJL133W,99
YJL136C,16
YJL137C,52
YJL138C,60
YJL139C,84
YJL140W,99
YJL141C,111
YJL143W,28
YJL144W,33
YJL145W,35
YJL147C,67
YJL149W,45
YJL151C,33
YJL153C,10
YJL155C,178
YJL158C,37
YJL159W,54
YJL160C,33
YJL161W,19
YJL162C,39
YJL163C,107
YJL164C,220
YJL166W,55
YJL167W,56
YJL168C,351
YJL171C,28
YJL172W,39
YJL173C,8
YJL174W,128
YJL177W,54
YJL178C,38
YJL179W,68
YJL180C,5
YJL183W,54
YJL184W,37
YJL185C,36
YJL186W,29
YJL189W,26
YJL190C,13
YJL191W,30
YJL192C,15
YJL196C,34
YJL199C,257
YJL205C,9
YJL209W,102
YJL210W,29
YJL217W,10
YJL218W,45
YJR002W,30
YJR005C-A,78
YJR005W,45
YJR007W,84
YJR008W,207
YJR009C,48
YJR010C-A,45
YJR010W,67
YJR014W,47
YJR016C,15
YJR017C,9
YJR019C,21
YJR021C,65
YJR022W,15
YJR024C,11
YJR025C,30
YJR032W,23
YJR034W,41
YJR036C,148
YJR042W,26
YJR044C,82
YJR045C,139
YJR047C,48
YJR048W,55
YJR050W,36
YJR051W,21
YJR055W,59
YJR056C,166
YJR057W,23
YJR058C,101
